nm, %R
800.000000, 107.173389
799.000000, 107.213159
798.000000, 107.170445
797.000000, 106.943803
796.000000, 107.068041
795.000000, 107.242966
794.000000, 107.319487
793.000000, 107.069686
792.000000, 107.338298
791.000000, 107.091456
790.000000, 107.004311
789.000000, 107.163455
788.000000, 107.277352
787.000000, 107.335453
786.000000, 107.201130
785.000000, 107.253869
784.000000, 107.028996
783.000000, 107.284481
782.000000, 107.198880
781.000000, 107.252115
780.000000, 107.207225
779.000000, 107.301153
778.000000, 107.068457
777.000000, 107.171114
776.000000, 107.055209
775.000000, 107.202101
774.000000, 107.133131
773.000000, 107.190484
772.000000, 107.144855
771.000000, 106.930332
770.000000, 106.947849
769.000000, 107.052898
768.000000, 107.193373
767.000000, 107.178317
766.000000, 107.175809
765.000000, 106.972804
764.000000, 106.920263
763.000000, 107.003934
762.000000, 107.156272
761.000000, 107.139158
760.000000, 107.026647
759.000000, 107.075579
758.000000, 106.941105
757.000000, 106.809854
756.000000, 106.705510
755.000000, 106.706250
754.000000, 106.833038
753.000000, 106.669695
752.000000, 106.366984
751.000000, 106.415263
750.000000, 106.400556
749.000000, 106.683266
748.000000, 106.706295
747.000000, 106.617716
746.000000, 106.417112
745.000000, 106.179439
744.000000, 106.258174
743.000000, 106.313856
742.000000, 106.197720
741.000000, 106.142397
740.000000, 106.078599
739.000000, 106.013521
738.000000, 105.929839
737.000000, 106.121365
736.000000, 106.095577
735.000000, 106.058262
734.000000, 105.925342
733.000000, 105.739159
732.000000, 105.607488
731.000000, 105.643312
730.000000, 105.702999
729.000000, 105.581494
728.000000, 105.250150
727.000000, 105.152262
726.000000, 105.092363
725.000000, 105.286190
724.000000, 105.331228
723.000000, 105.348647
722.000000, 105.224282
721.000000, 105.224394
720.000000, 105.343097
719.000000, 105.526952
718.000000, 105.585617
717.000000, 105.432514
716.000000, 105.396687
715.000000, 105.591003
714.000000, 105.670616
713.000000, 105.631458
712.000000, 105.516177
711.000000, 105.343778
710.000000, 105.231608
709.000000, 105.240629
708.000000, 105.301195
707.000000, 105.146608
706.000000, 104.885433
705.000000, 104.568801
704.000000, 104.471234
703.000000, 104.599565
702.000000, 104.704926
701.000000, 104.605130
700.000000, 104.381521
699.000000, 104.368706
698.000000, 104.573216
697.000000, 104.712250
696.000000, 104.593266
695.000000, 104.385613
694.000000, 104.208933
693.000000, 104.190729
692.000000, 104.132578
691.000000, 103.879921
690.000000, 103.644039
689.000000, 103.696056
688.000000, 103.976793
687.000000, 104.297410
686.000000, 104.542136
685.000000, 104.685634
684.000000, 104.787327
683.000000, 105.003259
682.000000, 105.170678
681.000000, 105.177041
680.000000, 105.024082
679.000000, 104.830172
678.000000, 104.704717
677.000000, 104.616245
676.000000, 104.470653
675.000000, 104.277536
674.000000, 104.131396
673.000000, 104.065790
672.000000, 104.057792
671.000000, 103.999461
670.000000, 103.812217
669.000000, 103.654857
668.000000, 103.811439
667.000000, 103.899418
666.000000, 103.724615
665.000000, 103.321393
664.000000, 102.636160
663.000000, 101.746066
662.000000, 100.999385
661.000000, 100.828005
660.000000, 101.317491
659.000000, 102.353170
658.000000, 103.507449
657.000000, 104.474231
656.000000, 105.122417
655.000000, 105.513805
654.000000, 105.801366
653.000000, 105.933399
652.000000, 105.849695
651.000000, 105.492181
650.000000, 105.076472
649.000000, 104.949935
648.000000, 105.093222
647.000000, 105.254825
646.000000, 105.412412
645.000000, 105.636899
644.000000, 105.891742
643.000000, 106.051996
642.000000, 105.984483
641.000000, 106.022368
640.000000, 106.133216
639.000000, 106.163666
638.000000, 106.087658
637.000000, 106.014512
636.000000, 106.048803
635.000000, 106.089490
634.000000, 106.044310
633.000000, 106.010396
632.000000, 106.003769
631.000000, 106.065715
630.000000, 106.077107
629.000000, 106.019853
628.000000, 105.993083
627.000000, 106.063217
626.000000, 106.028934
625.000000, 105.974938
624.000000, 105.971316
623.000000, 106.001639
622.000000, 106.002005
621.000000, 105.935010
620.000000, 105.934569
619.000000, 105.959557
618.000000, 106.038523
617.000000, 105.968766
616.000000, 105.887715
615.000000, 105.949189
614.000000, 105.986405
613.000000, 105.860598
612.000000, 105.811184
611.000000, 105.947998
610.000000, 105.949318
609.000000, 105.847508
608.000000, 105.799412
607.000000, 105.857386
606.000000, 105.846136
605.000000, 105.779932
604.000000, 105.719685
603.000000, 105.842219
602.000000, 105.845149
601.000000, 105.781016
600.000000, 105.792591
599.000000, 105.858436
598.000000, 105.734421
597.000000, 105.689193
596.000000, 105.747602
595.000000, 105.745228
594.000000, 105.662177
593.000000, 105.562891
592.000000, 105.538906
591.000000, 105.623340
590.000000, 105.546947
589.000000, 105.633403
588.000000, 105.675471
587.000000, 105.636428
586.000000, 105.594263
585.000000, 105.608893
584.000000, 105.581104
583.000000, 105.429470
582.000000, 105.234057
