nm, %R
800.000000, 93.117591
799.000000, 93.305323
798.000000, 93.098552
797.000000, 92.604906
796.000000, 92.236821
795.000000, 92.382365
794.000000, 92.921770
793.000000, 93.222961
792.000000, 93.471826
791.000000, 93.029480
790.000000, 92.613998
789.000000, 92.496117
788.000000, 92.527419
787.000000, 93.138792
786.000000, 93.350044
785.000000, 93.416644
784.000000, 92.989589
783.000000, 92.808492
782.000000, 92.387798
781.000000, 92.741337
780.000000, 93.066719
779.000000, 93.339998
778.000000, 93.337783
777.000000, 92.963139
776.000000, 92.504278
775.000000, 92.560887
774.000000, 92.805106
773.000000, 93.253181
772.000000, 93.412369
771.000000, 93.277937
770.000000, 92.853161
769.000000, 92.485454
768.000000, 92.473729
767.000000, 92.947145
766.000000, 93.308347
765.000000, 93.388354
764.000000, 93.225814
763.000000, 92.674535
762.000000, 92.558572
761.000000, 92.825258
760.000000, 93.247657
759.000000, 93.392045
758.000000, 93.246663
757.000000, 92.887766
756.000000, 92.489007
755.000000, 92.636843
754.000000, 93.151219
753.000000, 93.530078
752.000000, 93.305642
751.000000, 93.146821
750.000000, 92.726164
749.000000, 92.652222
748.000000, 92.962497
747.000000, 93.442691
746.000000, 93.528009
745.000000, 93.210883
744.000000, 92.830199
743.000000, 92.736051
742.000000, 92.966147
741.000000, 93.378845
740.000000, 93.536293
739.000000, 93.250828
738.000000, 92.818793
737.000000, 92.669130
736.000000, 92.923195
735.000000, 93.357098
734.000000, 93.556375
733.000000, 93.271000
732.000000, 92.905278
731.000000, 92.803392
730.000000, 93.131606
729.000000, 93.550886
728.000000, 93.628738
727.000000, 93.361384
726.000000, 92.883199
725.000000, 92.798077
724.000000, 93.134995
723.000000, 93.595749
722.000000, 93.567650
721.000000, 93.226431
720.000000, 92.881347
719.000000, 92.991022
718.000000, 93.405675
717.000000, 93.690241
716.000000, 93.546883
715.000000, 93.159382
714.000000, 92.856740
713.000000, 93.056880
712.000000, 93.532360
711.000000, 93.642291
710.000000, 93.427097
709.000000, 93.018141
708.000000, 92.961628
707.000000, 93.327419
706.000000, 93.666273
705.000000, 93.572385
704.000000, 93.133015
703.000000, 92.905618
702.000000, 93.119604
701.000000, 93.575279
700.000000, 93.761709
699.000000, 93.408897
698.000000, 93.079622
697.000000, 93.091706
696.000000, 93.399920
695.000000, 93.713199
694.000000, 93.567666
693.000000, 93.199941
692.000000, 93.037245
691.000000, 93.314382
690.000000, 93.670530
689.000000, 93.659987
688.000000, 93.265728
687.000000, 93.032302
686.000000, 93.313011
685.000000, 93.736139
684.000000, 93.793995
683.000000, 93.410535
682.000000, 93.080475
681.000000, 93.303267
680.000000, 93.696301
679.000000, 93.768255
678.000000, 93.428461
677.000000, 93.182423
676.000000, 93.373988
675.000000, 93.772879
674.000000, 93.817443
673.000000, 93.439881
672.000000, 93.210526
671.000000, 93.383856
670.000000, 93.707964
669.000000, 93.715801
668.000000, 93.483389
667.000000, 93.269684
666.000000, 93.433825
665.000000, 93.791588
664.000000, 93.793879
663.000000, 93.430910
662.000000, 93.283880
661.000000, 93.603105
660.000000, 93.856956
659.000000, 93.691402
658.000000, 93.356360
657.000000, 93.397923
656.000000, 93.772010
655.000000, 93.877341
654.000000, 93.629327
653.000000, 93.398048
652.000000, 93.554529
651.000000, 93.902079
650.000000, 93.832332
649.000000, 93.446316
648.000000, 93.353030
647.000000, 93.665899
646.000000, 93.910969
645.000000, 93.702006
644.000000, 93.458308
643.000000, 93.632356
642.000000, 93.921989
641.000000, 93.927064
640.000000, 93.592339
639.000000, 93.542719
638.000000, 93.852299
637.000000, 93.975331
636.000000, 93.699227
635.000000, 93.529170
634.000000, 93.756260
633.000000, 93.979711
632.000000, 93.794366
631.000000, 93.497614
630.000000, 93.675953
629.000000, 93.987256
628.000000, 93.903428
627.000000, 93.645692
626.000000, 93.625825
625.000000, 93.932493
624.000000, 93.987166
623.000000, 93.678726
622.000000, 93.573018
621.000000, 93.909788
620.000000, 94.019998
619.000000, 93.724894
618.000000, 93.652366
617.000000, 93.939539
616.000000, 94.016262
615.000000, 93.777557
614.000000, 93.652062
613.000000, 93.872101
612.000000, 94.015642
611.000000, 93.790926
610.000000, 93.683216
609.000000, 93.902746
608.000000, 94.028626
607.000000, 93.778011
606.000000, 93.701169
605.000000, 93.960421
604.000000, 93.992936
603.000000, 93.796498
602.000000, 93.745737
601.000000, 94.014801
600.000000, 94.027800
599.000000, 93.813234
598.000000, 93.797845
597.000000, 94.077437
596.000000, 93.995318
595.000000, 93.769640
594.000000, 93.947022
593.000000, 94.119328
592.000000, 93.958289
591.000000, 93.844003
590.000000, 94.013513
589.000000, 94.136781
588.000000, 93.928605
587.000000, 93.921710
586.000000, 94.139318
585.000000, 94.085326
584.000000, 93.871311
583.000000, 94.056683
582.000000, 94.151492
581.000000, 94.015652
580.000000, 93.878561
579.000000, 94.135824
578.000000, 94.121718
577.000000, 93.936570
576.000000, 94.061376
575.000000, 94.183746
574.000000, 94.049860
573.000000, 93.976114
572.000000, 94.178092
571.000000, 94.100574
570.000000, 93.955398
569.000000, 94.155193
568.000000, 94.211893
567.000000, 94.056457
566.000000, 94.065047
565.000000, 94.219475
564.000000, 94.125374
563.000000, 94.085386
562.000000, 94.227953
561.000000, 94.161573
560.000000, 94.061863
559.000000, 94.170129
558.000000, 94.182038
557.000000, 94.064887
556.000000, 94.215057
555.000000, 94.233217
554.000000, 94.120613
553.000000, 94.176157
552.000000, 94.234912
551.000000, 94.121904
550.000000, 94.133008
549.000000, 94.260635
548.000000, 94.159344
547.000000, 94.154000
546.000000, 94.301918
545.000000, 94.239760
544.000000, 94.161678
543.000000, 94.327191
542.000000, 94.219795
541.000000, 94.231970
540.000000, 94.278899
539.000000, 94.227532
538.000000, 94.218440
537.000000, 94.296174
536.000000, 94.236195
535.000000, 94.254376
534.000000, 94.318044
533.000000, 94.267990
532.000000, 94.285230
531.000000, 94.321974
530.000000, 94.260805
529.000000, 94.329009
528.000000, 94.297814
527.000000, 94.258181
526.000000, 94.347026
525.000000, 94.314602
524.000000, 94.283890
523.000000, 94.402005
522.000000, 94.308445
521.000000, 94.318709
520.000000, 94.377549
519.000000, 94.283781
518.000000, 94.310668
517.000000, 94.386766
516.000000, 94.309606
515.000000, 94.361793
514.000000, 94.382947
513.000000, 94.397797
512.000000, 94.384464
511.000000, 94.404007
510.000000, 94.387141
509.000000, 94.436394
508.000000, 94.438251
507.000000, 94.440684
506.000000, 94.413919
505.000000, 94.453785
504.000000, 94.471918
503.000000, 94.457373
502.000000, 94.464902
501.000000, 94.455335
500.000000, 94.476627
499.000000, 94.496210
498.000000, 94.459264
497.000000, 94.500429
496.000000, 94.456995
495.000000, 94.465472
494.000000, 94.419499
493.000000, 94.427929
492.000000, 94.387916
491.000000, 94.399096
490.000000, 94.435907
489.000000, 94.428873
488.000000, 94.434364
487.000000, 94.424957
486.000000, 94.417085
485.000000, 94.476070
484.000000, 94.407154
483.000000, 94.389962
482.000000, 94.384445
481.000000, 94.435183
480.000000, 94.402803
