nm, %R
800.000000, 94.372385
799.000000, 94.517410
798.000000, 94.401411
797.000000, 94.215507
796.000000, 94.184106
795.000000, 94.305563
794.000000, 94.539706
793.000000, 94.648856
792.000000, 94.625924
791.000000, 94.397690
790.000000, 94.346844
789.000000, 94.184402
788.000000, 94.418492
787.000000, 94.642680
786.000000, 94.435453
785.000000, 94.521017
784.000000, 94.327999
783.000000, 94.341197
782.000000, 94.158480
781.000000, 94.263405
780.000000, 94.427840
779.000000, 94.572636
778.000000, 94.513756
777.000000, 94.344197
776.000000, 94.196527
775.000000, 94.343692
774.000000, 94.396248
773.000000, 94.537920
772.000000, 94.495193
771.000000, 94.372876
770.000000, 94.238751
769.000000, 94.178131
768.000000, 94.361986
767.000000, 94.592421
766.000000, 94.602938
765.000000, 94.500503
764.000000, 94.463803
763.000000, 94.330409
762.000000, 94.349782
761.000000, 94.612197
760.000000, 94.691349
759.000000, 94.560083
758.000000, 94.434026
757.000000, 94.384765
756.000000, 94.286754
755.000000, 94.267032
754.000000, 94.340588
753.000000, 94.337006
752.000000, 94.109626
751.000000, 93.887056
750.000000, 93.778890
749.000000, 93.926405
748.000000, 94.096089
747.000000, 94.093002
746.000000, 93.913183
745.000000, 93.757104
744.000000, 93.591168
743.000000, 93.745407
742.000000, 93.829873
741.000000, 93.736008
740.000000, 93.617739
739.000000, 93.488393
738.000000, 93.407346
737.000000, 93.405300
736.000000, 93.700441
735.000000, 93.654735
734.000000, 93.461726
733.000000, 93.306322
732.000000, 93.264116
731.000000, 93.323395
730.000000, 93.343496
729.000000, 93.343507
728.000000, 93.135618
727.000000, 92.889459
726.000000, 92.771639
725.000000, 92.806730
724.000000, 92.896596
723.000000, 92.876336
722.000000, 92.668378
721.000000, 92.614471
720.000000, 92.669570
719.000000, 92.966574
718.000000, 93.114052
717.000000, 93.043558
716.000000, 92.931499
715.000000, 92.873863
714.000000, 92.993980
713.000000, 93.146008
712.000000, 93.182161
711.000000, 93.003994
710.000000, 92.883126
709.000000, 92.765196
708.000000, 92.835438
707.000000, 92.876117
706.000000, 92.705938
705.000000, 92.486033
704.000000, 92.286885
703.000000, 92.228301
702.000000, 92.232364
701.000000, 92.158222
700.000000, 91.983246
699.000000, 91.822903
698.000000, 91.910536
697.000000, 92.063791
696.000000, 92.085476
695.000000, 92.084228
694.000000, 91.894093
693.000000, 91.814064
692.000000, 91.881570
691.000000, 91.883781
690.000000, 91.640892
689.000000, 91.357210
688.000000, 91.251711
687.000000, 91.396788
686.000000, 91.614748
685.000000, 91.781487
684.000000, 91.923339
683.000000, 92.108621
682.000000, 92.358232
681.000000, 92.510649
680.000000, 92.575110
679.000000, 92.512874
678.000000, 92.440958
677.000000, 92.459800
676.000000, 92.396393
675.000000, 92.242807
674.000000, 92.007437
673.000000, 91.834357
672.000000, 91.826352
671.000000, 91.832504
670.000000, 91.707232
669.000000, 91.555598
668.000000, 91.496734
667.000000, 91.520416
666.000000, 91.570807
665.000000, 91.438947
664.000000, 91.176034
663.000000, 90.875305
662.000000, 90.382232
661.000000, 89.764883
660.000000, 89.217657
659.000000, 89.033483
658.000000, 89.409020
657.000000, 90.143500
656.000000, 90.913416
655.000000, 91.673157
654.000000, 92.404283
653.000000, 92.934919
652.000000, 93.148961
651.000000, 93.141841
650.000000, 92.992209
649.000000, 92.794289
648.000000, 92.677242
647.000000, 92.559556
646.000000, 92.482432
645.000000, 92.602135
644.000000, 92.760825
643.000000, 92.919560
642.000000, 93.063743
641.000000, 93.156728
640.000000, 93.240959
639.000000, 93.305966
638.000000, 93.223369
637.000000, 93.182465
636.000000, 93.257551
635.000000, 93.281451
634.000000, 93.295134
633.000000, 93.269569
632.000000, 93.262991
631.000000, 93.370462
630.000000, 93.398899
629.000000, 93.354841
628.000000, 93.370775
627.000000, 93.498161
626.000000, 93.550466
625.000000, 93.575723
624.000000, 93.567030
623.000000, 93.596571
622.000000, 93.579535
621.000000, 93.530928
620.000000, 93.516624
619.000000, 93.483551
618.000000, 93.452608
617.000000, 93.359164
616.000000, 93.275377
615.000000, 93.244943
614.000000, 93.227376
613.000000, 93.181519
612.000000, 93.119752
611.000000, 93.077055
610.000000, 93.068407
609.000000, 93.041344
608.000000, 93.034897
607.000000, 93.036384
606.000000, 93.030118
605.000000, 92.994740
604.000000, 92.961726
603.000000, 92.972991
602.000000, 92.969981
601.000000, 92.915610
600.000000, 92.953052
599.000000, 92.957346
598.000000, 92.867392
597.000000, 92.843799
596.000000, 92.886567
595.000000, 92.945095
594.000000, 92.967521
593.000000, 92.935612
592.000000, 92.966084
591.000000, 92.959994
590.000000, 92.971169
589.000000, 93.039178
588.000000, 93.055251
587.000000, 93.080109
586.000000, 92.985868
585.000000, 92.930575
584.000000, 92.843887
583.000000, 92.756009
582.000000, 92.671822
581.000000, 92.564872
580.000000, 92.421930
579.000000, 92.422090
578.000000, 92.456109
577.000000, 92.492192
576.000000, 92.533976
575.000000, 92.522858
574.000000, 92.460696
573.000000, 92.258676
572.000000, 91.995870
571.000000, 91.771730
570.000000, 91.721611
569.000000, 91.847946
568.000000, 91.947876
567.000000, 91.929890
566.000000, 91.777301
565.000000, 91.759558
564.000000, 91.670527
563.000000, 91.562566
562.000000, 91.354228
561.000000, 91.221273
560.000000, 91.254945
559.000000, 91.493670
558.000000, 91.732383
557.000000, 91.791740
556.000000, 91.503205
555.000000, 91.045707
554.000000, 90.642934
553.000000, 90.661846
552.000000, 91.007206
551.000000, 91.305072
550.000000, 91.243057
549.000000, 90.998403
548.000000, 90.687682
547.000000, 90.559874
546.000000, 90.637081
545.000000, 90.773751
544.000000, 90.785048
543.000000, 90.900296
542.000000, 91.123629
541.000000, 91.166215
540.000000, 91.071901
539.000000, 90.864748
538.000000, 90.831278
537.000000, 91.027050
536.000000, 91.322227
535.000000, 91.507921
534.000000, 91.468950
533.000000, 91.406639
532.000000, 91.384511
531.000000, 91.544441
530.000000, 91.786344
529.000000, 92.102565
528.000000, 92.432445
527.000000, 92.814525
526.000000, 93.196189
525.000000, 93.355393
524.000000, 93.265059
523.000000, 92.957679
522.000000, 92.608562
521.000000, 92.216404
520.000000, 91.925944
519.000000, 91.663632
518.000000, 91.534841
517.000000, 91.488680
516.000000, 91.446756
515.000000, 91.416139
514.000000, 91.387352
513.000000, 91.359991
512.000000, 91.304138
511.000000, 91.328710
510.000000, 91.286663
509.000000, 91.362286
508.000000, 91.369483
507.000000, 91.341774
506.000000, 91.313782
505.000000, 91.328250
504.000000, 91.302457
503.000000, 91.269114
502.000000, 91.283868
501.000000, 91.287171
500.000000, 91.234708
499.000000, 91.229915
498.000000, 91.152064
497.000000, 91.168596
496.000000, 91.151955
495.000000, 91.150022
494.000000, 91.136433
493.000000, 91.164536
492.000000, 91.090233
491.000000, 91.070023
490.000000, 91.037419
489.000000, 90.977456
488.000000, 90.941606
487.000000, 90.963363
486.000000, 90.949566
485.000000, 90.910588
484.000000, 90.868705
483.000000, 90.802561
482.000000, 90.707951
481.000000, 90.737560
480.000000, 90.718111
479.000000, 90.647285
478.000000, 90.570396
477.000000, 90.488256
476.000000, 90.456967
475.000000, 90.487954
474.000000, 90.537404
473.000000, 90.599349
472.000000, 90.666236
471.000000, 90.635581
470.000000, 90.623094
469.000000, 90.612560
468.000000, 90.619434
467.000000, 90.613498
466.000000, 90.547088
465.000000, 90.493377
464.000000, 90.360189
463.000000, 90.225913
462.000000, 90.078995
461.000000, 90.020933
460.000000, 89.957480
459.000000, 89.863380
458.000000, 89.736674
457.000000, 89.634738
456.000000, 89.462805
455.000000, 89.311467
454.000000, 89.180199
453.000000, 89.120169
452.000000, 89.065172
451.000000, 88.978762
450.000000, 88.923785
449.000000, 88.873976
448.000000, 88.836071
447.000000, 88.783986
446.000000, 88.771182
445.000000, 88.728542
444.000000, 88.641861
443.000000, 88.535234
442.000000, 88.425685
441.000000, 88.297708
440.000000, 88.240270
439.000000, 88.197366
438.000000, 88.117804
437.000000, 87.938905
436.000000, 87.756588
435.000000, 87.668453
434.000000, 87.633698
433.000000, 87.656966
432.000000, 87.665039
431.000000, 87.633168
430.000000, 87.532103
429.000000, 87.438011
428.000000, 87.312614
427.000000, 87.232967
426.000000, 87.165602
425.000000, 87.145396
424.000000, 87.087238
423.000000, 86.985616
422.000000, 86.931446
421.000000, 86.903368
420.000000, 86.895433
419.000000, 86.863185
418.000000, 86.738627
417.000000, 86.486760
