nm, %R
800.000000, 101.181299
799.000000, 101.914528
798.000000, 101.915470
797.000000, 101.914667
796.000000, 101.532671
795.000000, 100.898712
794.000000, 101.132557
793.000000, 101.282273
792.000000, 101.622559
791.000000, 102.084452
790.000000, 101.988967
789.000000, 101.555020
788.000000, 101.139529
787.000000, 100.929411
786.000000, 101.391941
785.000000, 101.685905
784.000000, 102.021709
783.000000, 101.953081
782.000000, 101.627802
781.000000, 101.029686
780.000000, 100.942068
779.000000, 101.288811
778.000000, 101.687690
777.000000, 101.961887
776.000000, 101.930221
775.000000, 101.422091
774.000000, 100.938527
773.000000, 100.900199
772.000000, 101.147515
771.000000, 101.627561
770.000000, 101.945169
769.000000, 101.770285
768.000000, 101.369749
767.000000, 100.923049
766.000000, 100.930053
765.000000, 101.224885
764.000000, 101.645501
763.000000, 101.831219
762.000000, 101.495934
761.000000, 101.029776
760.000000, 100.880740
759.000000, 101.292322
758.000000, 101.601631
757.000000, 101.851173
756.000000, 101.648031
755.000000, 101.340806
754.000000, 101.131522
753.000000, 101.244264
752.000000, 101.463073
751.000000, 101.788896
750.000000, 101.814404
749.000000, 101.626045
748.000000, 101.118604
747.000000, 100.945587
746.000000, 101.356834
745.000000, 101.750911
744.000000, 101.900694
743.000000, 101.733305
742.000000, 101.356096
741.000000, 101.176433
740.000000, 101.295137
739.000000, 101.624363
738.000000, 101.851267
737.000000, 101.679578
736.000000, 101.393598
735.000000, 101.139894
734.000000, 101.281169
733.000000, 101.658976
732.000000, 101.912907
731.000000, 101.701966
730.000000, 101.354459
729.000000, 101.157116
728.000000, 101.266374
727.000000, 101.608199
726.000000, 101.780133
725.000000, 101.695129
724.000000, 101.315770
723.000000, 101.083889
722.000000, 101.289571
721.000000, 101.580712
720.000000, 101.798078
719.000000, 101.627796
718.000000, 101.286348
717.000000, 101.161522
716.000000, 101.379369
715.000000, 101.701986
714.000000, 101.799889
713.000000, 101.483457
712.000000, 101.179167
711.000000, 101.158002
710.000000, 101.518928
709.000000, 101.766574
708.000000, 101.646386
707.000000, 101.362145
706.000000, 101.194459
705.000000, 101.297410
704.000000, 101.634410
703.000000, 101.816474
702.000000, 101.596541
701.000000, 101.230034
700.000000, 101.157417
699.000000, 101.453045
698.000000, 101.715649
697.000000, 101.634302
696.000000, 101.330394
695.000000, 101.143196
694.000000, 101.338265
693.000000, 101.666300
692.000000, 101.727502
691.000000, 101.489002
690.000000, 101.198369
689.000000, 101.237502
688.000000, 101.541434
687.000000, 101.700609
686.000000, 101.522326
685.000000, 101.200306
684.000000, 101.135658
683.000000, 101.484770
682.000000, 101.667820
681.000000, 101.521426
680.000000, 101.264070
679.000000, 101.153035
678.000000, 101.309769
677.000000, 101.588860
676.000000, 101.550756
675.000000, 101.253581
674.000000, 101.138132
673.000000, 101.342352
672.000000, 101.519396
671.000000, 101.393284
670.000000, 101.160527
669.000000, 101.085000
668.000000, 101.313101
667.000000, 101.545047
666.000000, 101.434686
665.000000, 101.135671
664.000000, 101.097292
663.000000, 101.364209
662.000000, 101.576092
661.000000, 101.462766
660.000000, 101.164826
659.000000, 101.133553
658.000000, 101.361707
657.000000, 101.468957
656.000000, 101.263344
655.000000, 101.045556
654.000000, 101.133347
653.000000, 101.420275
652.000000, 101.472763
651.000000, 101.235524
650.000000, 101.098637
649.000000, 101.237750
648.000000, 101.464037
647.000000, 101.357652
646.000000, 101.160607
645.000000, 101.159734
644.000000, 101.348568
643.000000, 101.451900
642.000000, 101.251800
641.000000, 101.098714
640.000000, 101.250154
639.000000, 101.418892
638.000000, 101.339203
637.000000, 101.114340
636.000000, 101.113698
635.000000, 101.361358
634.000000, 101.343450
633.000000, 101.155879
632.000000, 101.091093
631.000000, 101.297960
630.000000, 101.415893
629.000000, 101.305433
628.000000, 101.137842
627.000000, 101.210479
626.000000, 101.355264
625.000000, 101.305941
624.000000, 101.080819
623.000000, 101.172487
622.000000, 101.363013
621.000000, 101.353584
620.000000, 101.171386
619.000000, 101.124879
618.000000, 101.324567
617.000000, 101.351843
616.000000, 101.173287
615.000000, 101.148314
614.000000, 101.263377
613.000000, 101.299895
612.000000, 101.197810
611.000000, 101.165300
610.000000, 101.322550
609.000000, 101.322476
608.000000, 101.238319
607.000000, 101.138226
606.000000, 101.275519
605.000000, 101.355677
604.000000, 101.250326
603.000000, 101.151377
602.000000, 101.294424
601.000000, 101.346169
600.000000, 101.155389
599.000000, 101.127153
598.000000, 101.286177
597.000000, 101.304628
596.000000, 101.176364
595.000000, 101.168841
594.000000, 101.328589
593.000000, 101.264114
592.000000, 101.098412
591.000000, 101.202302
590.000000, 101.289584
589.000000, 101.238010
588.000000, 101.126983
587.000000, 101.231770
586.000000, 101.300372
585.000000, 101.176162
584.000000, 101.176130
583.000000, 101.270884
582.000000, 101.231326
581.000000, 101.132604
580.000000, 101.236565
579.000000, 101.278810
578.000000, 101.196065
577.000000, 101.200036
576.000000, 101.238594
575.000000, 101.246832
574.000000, 101.182020
573.000000, 101.188703
572.000000, 101.302015
571.000000, 101.222829
570.000000, 101.201426
569.000000, 101.297589
568.000000, 101.232792
567.000000, 101.170383
566.000000, 101.213242
565.000000, 101.298085
564.000000, 101.176793
563.000000, 101.215233
562.000000, 101.264993
561.000000, 101.233492
560.000000, 101.182244
559.000000, 101.275080
558.000000, 101.250485
557.000000, 101.188987
556.000000, 101.231928
555.000000, 101.265934
554.000000, 101.156727
553.000000, 101.223478
552.000000, 101.231918
551.000000, 101.224627
550.000000, 101.196015
549.000000, 101.314570
548.000000, 101.207351
547.000000, 101.173430
546.000000, 101.266541
545.000000, 101.230662
544.000000, 101.168910
543.000000, 101.269900
542.000000, 101.197152
541.000000, 101.181478
540.000000, 101.242193
539.000000, 101.242812
538.000000, 101.202162
537.000000, 101.196801
536.000000, 101.167097
535.000000, 101.177471
534.000000, 101.254859
533.000000, 101.229775
532.000000, 101.204855
531.000000, 101.168162
530.000000, 101.194694
529.000000, 101.155181
528.000000, 101.214239
527.000000, 101.143163
526.000000, 101.155195
525.000000, 101.206484
524.000000, 101.145372
523.000000, 101.173796
522.000000, 101.180838
521.000000, 101.121002
520.000000, 101.155817
519.000000, 101.165750
518.000000, 101.126956
517.000000, 101.181792
516.000000, 101.133356
515.000000, 101.136867
514.000000, 101.143665
513.000000, 101.105235
512.000000, 101.128472
511.000000, 101.145453
510.000000, 101.137965
509.000000, 101.121194
508.000000, 101.114387
507.000000, 101.093168
506.000000, 101.060506
505.000000, 101.076745
504.000000, 101.080176
503.000000, 101.062529
502.000000, 101.073668
501.000000, 101.057251
500.000000, 101.068212
499.000000, 100.998124
498.000000, 101.055725
497.000000, 101.050359
496.000000, 101.026818
495.000000, 100.993911
494.000000, 101.010718
493.000000, 101.008270
492.000000, 100.984005
491.000000, 100.996716
490.000000, 100.974398
489.000000, 100.975928
488.000000, 100.941548
487.000000, 100.986153
486.000000, 100.950249
485.000000, 100.924550
484.000000, 100.988893
483.000000, 100.940684
482.000000, 100.919404
481.000000, 100.930359
480.000000, 100.873851
479.000000, 100.900293
478.000000, 100.874153
477.000000, 100.851736
476.000000, 100.929277
475.000000, 100.870324
474.000000, 100.843529
473.000000, 100.840318
472.000000, 100.860711
471.000000, 100.837831
470.000000, 100.794321
469.000000, 100.746923
468.000000, 100.759770
467.000000, 100.738734
466.000000, 100.778282
465.000000, 100.727408
464.000000, 100.670543
463.000000, 100.685424
462.000000, 100.624558
461.000000, 100.652634
460.000000, 100.653350
459.000000, 100.611490
458.000000, 100.613556
457.000000, 100.568857
456.000000, 100.544577
455.000000, 100.542338
454.000000, 100.532772
453.000000, 100.523525
452.000000, 100.533194
451.000000, 100.486237
450.000000, 100.380548
449.000000, 100.378537
448.000000, 100.392245
447.000000, 100.364841
446.000000, 100.378222
445.000000, 100.374439
444.000000, 100.274634
443.000000, 100.249489
442.000000, 100.241920
441.000000, 100.243628
440.000000, 100.228274
439.000000, 100.121649
438.000000, 100.085914
437.000000, 100.083280
436.000000, 100.067482
435.000000, 100.009160
434.000000, 99.940504
433.000000, 99.843585
432.000000, 99.762042
431.000000, 99.700874
430.000000, 99.631139
429.000000, 99.601368
428.000000, 99.540338
427.000000, 99.504664
426.000000, 99.412288
425.000000, 99.329401
424.000000, 99.220395
423.000000, 99.131175
422.000000, 99.049610
421.000000, 99.008762
420.000000, 98.894112
419.000000, 98.745084
418.000000, 98.622066
417.000000, 98.521043
416.000000, 98.381830
415.000000, 98.294541
414.000000, 98.245737
413.000000, 98.122604
412.000000, 97.942836
411.000000, 97.758012
410.000000, 97.612079
409.000000, 97.464830
408.000000, 97.325371
407.000000, 97.131074
406.000000, 96.892659
