nm, %R
800.000000, 89.806929
799.000000, 89.548260
798.000000, 88.963535
797.000000, 89.073131
796.000000, 89.436474
795.000000, 89.656716
794.000000, 90.099146
793.000000, 89.953285
792.000000, 89.511084
791.000000, 89.255226
790.000000, 89.166453
789.000000, 89.404338
788.000000, 89.803980
787.000000, 90.023148
786.000000, 89.979164
785.000000, 89.547800
784.000000, 89.251276
783.000000, 89.088366
782.000000, 89.406563
781.000000, 89.757609
780.000000, 89.990591
779.000000, 89.971409
778.000000, 89.573997
777.000000, 89.194179
776.000000, 89.263968
775.000000, 89.449275
774.000000, 89.768873
773.000000, 89.989180
772.000000, 89.812089
771.000000, 89.386910
770.000000, 89.240000
769.000000, 89.306651
768.000000, 89.772685
767.000000, 89.870773
766.000000, 89.990409
765.000000, 89.714231
764.000000, 89.252845
763.000000, 89.148123
762.000000, 89.484170
761.000000, 89.880263
760.000000, 89.993817
759.000000, 89.918612
758.000000, 89.500312
757.000000, 89.345274
756.000000, 89.347996
755.000000, 89.703623
754.000000, 89.992057
753.000000, 90.066267
752.000000, 89.755455
751.000000, 89.516160
750.000000, 89.384278
749.000000, 89.719517
748.000000, 89.952356
747.000000, 89.979398
746.000000, 89.840605
745.000000, 89.497058
744.000000, 89.477921
743.000000, 89.717646
742.000000, 90.038234
741.000000, 90.073828
740.000000, 89.919496
739.000000, 89.625217
738.000000, 89.471884
737.000000, 89.622060
736.000000, 90.016759
735.000000, 90.101220
734.000000, 89.936484
733.000000, 89.663875
732.000000, 89.597889
731.000000, 89.680718
730.000000, 89.915336
729.000000, 90.117009
728.000000, 89.914850
727.000000, 89.647108
726.000000, 89.527052
725.000000, 89.697425
724.000000, 89.920889
723.000000, 90.135901
722.000000, 89.971908
721.000000, 89.726775
720.000000, 89.684800
719.000000, 89.879638
718.000000, 90.044797
717.000000, 90.060347
716.000000, 89.928689
715.000000, 89.725285
714.000000, 89.798838
713.000000, 89.975533
712.000000, 90.128380
711.000000, 90.043088
710.000000, 89.883937
709.000000, 89.760053
708.000000, 89.827714
707.000000, 90.094421
706.000000, 90.156240
705.000000, 90.041838
704.000000, 89.878952
703.000000, 89.855429
702.000000, 89.986871
701.000000, 90.183996
700.000000, 90.139273
699.000000, 89.956560
698.000000, 89.837103
697.000000, 89.944129
696.000000, 90.154868
695.000000, 90.189465
694.000000, 90.096695
693.000000, 89.963220
692.000000, 89.954582
691.000000, 90.105288
690.000000, 90.229824
689.000000, 90.180459
688.000000, 89.987260
687.000000, 89.989870
686.000000, 90.095407
685.000000, 90.204947
684.000000, 90.174509
683.000000, 90.060689
682.000000, 90.034320
681.000000, 90.139420
680.000000, 90.290489
679.000000, 90.258140
678.000000, 90.063973
677.000000, 90.037672
676.000000, 90.176584
675.000000, 90.259152
674.000000, 90.257924
673.000000, 90.138227
672.000000, 90.074729
671.000000, 90.147616
670.000000, 90.256308
669.000000, 90.261730
668.000000, 90.149370
667.000000, 90.132691
666.000000, 90.252774
665.000000, 90.305872
664.000000, 90.254201
663.000000, 90.189833
662.000000, 90.227081
661.000000, 90.329494
660.000000, 90.375381
659.000000, 90.308566
658.000000, 90.204561
657.000000, 90.219680
656.000000, 90.348946
655.000000, 90.330245
654.000000, 90.242487
