nm, %R
800.000000, 101.039160
799.000000, 101.996448
798.000000, 102.044173
797.000000, 101.942078
796.000000, 101.210598
795.000000, 100.802536
794.000000, 100.895935
793.000000, 101.119654
792.000000, 101.568944
791.000000, 102.014851
790.000000, 101.859211
789.000000, 101.491125
788.000000, 100.814397
787.000000, 100.782528
786.000000, 101.333770
785.000000, 101.639931
784.000000, 102.064762
783.000000, 101.877250
782.000000, 101.366275
781.000000, 100.947128
780.000000, 100.777756
779.000000, 101.021667
778.000000, 101.621282
777.000000, 101.932451
776.000000, 101.835530
775.000000, 101.204137
774.000000, 100.761218
773.000000, 100.848324
772.000000, 101.042978
771.000000, 101.670024
770.000000, 101.802223
769.000000, 101.573129
768.000000, 101.262077
767.000000, 100.761032
766.000000, 100.913623
765.000000, 101.152484
764.000000, 101.600168
763.000000, 101.708868
762.000000, 101.353234
761.000000, 100.843046
760.000000, 100.692657
759.000000, 101.016827
758.000000, 101.511639
757.000000, 101.819970
756.000000, 101.543457
755.000000, 101.151029
754.000000, 100.902151
753.000000, 101.108036
752.000000, 101.358042
751.000000, 101.699243
750.000000, 101.657304
749.000000, 101.486568
748.000000, 100.914069
747.000000, 100.871848
746.000000, 101.272782
745.000000, 101.695344
744.000000, 101.827774
743.000000, 101.540706
742.000000, 101.119632
741.000000, 100.913715
740.000000, 101.199717
739.000000, 101.576485
738.000000, 101.798658
737.000000, 101.599527
736.000000, 101.143783
735.000000, 100.981260
734.000000, 101.187246
733.000000, 101.567564
732.000000, 101.844276
731.000000, 101.600610
730.000000, 101.144464
729.000000, 101.012761
728.000000, 101.273387
727.000000, 101.668529
726.000000, 101.779344
725.000000, 101.508663
724.000000, 101.113141
723.000000, 100.922346
722.000000, 101.202404
721.000000, 101.595912
720.000000, 101.783830
719.000000, 101.536693
718.000000, 101.066236
717.000000, 101.001588
716.000000, 101.315966
715.000000, 101.701369
714.000000, 101.711653
713.000000, 101.368396
712.000000, 101.056098
711.000000, 101.071103
710.000000, 101.437256
709.000000, 101.702640
708.000000, 101.571855
707.000000, 101.196174
706.000000, 101.024415
705.000000, 101.248595
704.000000, 101.649096
703.000000, 101.760979
702.000000, 101.396553
701.000000, 101.088689
700.000000, 101.076618
699.000000, 101.455083
698.000000, 101.654670
697.000000, 101.475277
696.000000, 101.173309
695.000000, 101.033729
694.000000, 101.280211
693.000000, 101.640637
692.000000, 101.617863
691.000000, 101.280665
690.000000, 101.106891
689.000000, 101.220162
688.000000, 101.539567
687.000000, 101.675351
686.000000, 101.436927
685.000000, 101.118014
684.000000, 101.111633
683.000000, 101.468295
682.000000, 101.628806
681.000000, 101.430190
680.000000, 101.109839
679.000000, 101.048538
678.000000, 101.335975
677.000000, 101.598938
676.000000, 101.470344
675.000000, 101.160832
674.000000, 101.139650
673.000000, 101.381195
672.000000, 101.574042
671.000000, 101.425077
670.000000, 101.112283
669.000000, 101.099659
668.000000, 101.343142
667.000000, 101.507945
666.000000, 101.387108
665.000000, 101.102756
664.000000, 101.109102
663.000000, 101.433414
662.000000, 101.586572
661.000000, 101.382755
660.000000, 101.139018
659.000000, 101.179347
658.000000, 101.460470
657.000000, 101.544171
656.000000, 101.253480
655.000000, 101.032644
654.000000, 101.199345
653.000000, 101.504000
652.000000, 101.512802
651.000000, 101.207512
650.000000, 101.074300
649.000000, 101.317046
648.000000, 101.520816
647.000000, 101.410046
646.000000, 101.181193
645.000000, 101.194081
644.000000, 101.386870
643.000000, 101.449832
642.000000, 101.256838
641.000000, 101.141453
640.000000, 101.302885
639.000000, 101.517458
638.000000, 101.397645
637.000000, 101.167918
636.000000, 101.226949
635.000000, 101.479263
634.000000, 101.451629
633.000000, 101.238500
632.000000, 101.220618
631.000000, 101.369609
630.000000, 101.488102
629.000000, 101.352880
628.000000, 101.173830
627.000000, 101.281021
626.000000, 101.430497
625.000000, 101.347259
624.000000, 101.141441
623.000000, 101.291198
622.000000, 101.455548
621.000000, 101.415611
620.000000, 101.189447
619.000000, 101.200750
618.000000, 101.446264
617.000000, 101.439936
616.000000, 101.231473
615.000000, 101.245385
614.000000, 101.380785
613.000000, 101.383765
612.000000, 101.276284
611.000000, 101.252644
610.000000, 101.399602
609.000000, 101.462322
608.000000, 101.308276
607.000000, 101.239366
606.000000, 101.367868
605.000000, 101.394038
604.000000, 101.198108
603.000000, 101.186218
602.000000, 101.394016
601.000000, 101.408651
600.000000, 101.218576
599.000000, 101.230889
598.000000, 101.361488
597.000000, 101.377641
596.000000, 101.230712
595.000000, 101.261308
594.000000, 101.405787
593.000000, 101.345041
592.000000, 101.174683
591.000000, 101.299556
590.000000, 101.367781
589.000000, 101.285866
588.000000, 101.197045
587.000000, 101.325120
586.000000, 101.393405
585.000000, 101.270738
584.000000, 101.269274
583.000000, 101.396676
582.000000, 101.310047
581.000000, 101.256705
580.000000, 101.314321
579.000000, 101.388409
578.000000, 101.262387
577.000000, 101.268928
576.000000, 101.351903
575.000000, 101.351718
574.000000, 101.237482
573.000000, 101.300538
572.000000, 101.388374
571.000000, 101.278763
570.000000, 101.299085
569.000000, 101.393966
568.000000, 101.302718
567.000000, 101.205357
566.000000, 101.305248
565.000000, 101.360046
564.000000, 101.270257
563.000000, 101.288834
562.000000, 101.380959
561.000000, 101.336927
560.000000, 101.253402
559.000000, 101.417119
558.000000, 101.345649
557.000000, 101.212802
556.000000, 101.321345
555.000000, 101.346373
554.000000, 101.225625
553.000000, 101.279926
552.000000, 101.301363
551.000000, 101.290651
550.000000, 101.257102
549.000000, 101.384328
548.000000, 101.214897
547.000000, 101.283280
546.000000, 101.334010
545.000000, 101.289758
544.000000, 101.277547
543.000000, 101.375665
542.000000, 101.262443
541.000000, 101.281269
540.000000, 101.297023
539.000000, 101.247449
538.000000, 101.266008
537.000000, 101.279988
536.000000, 101.225652
535.000000, 101.278155
534.000000, 101.331071
533.000000, 101.240688
532.000000, 101.296368
531.000000, 101.263691
530.000000, 101.242434
529.000000, 101.268589
528.000000, 101.307544
527.000000, 101.263271
526.000000, 101.263633
525.000000, 101.258469
524.000000, 101.184444
523.000000, 101.235781
522.000000, 101.265261
521.000000, 101.215115
520.000000, 101.249819
519.000000, 101.264742
518.000000, 101.196500
517.000000, 101.210122
516.000000, 101.178454
515.000000, 101.195293
514.000000, 101.203342
513.000000, 101.179219
512.000000, 101.204459
511.000000, 101.209658
510.000000, 101.184546
509.000000, 101.201733
508.000000, 101.210778
507.000000, 101.164808
506.000000, 101.127710
505.000000, 101.147688
504.000000, 101.172698
503.000000, 101.113082
502.000000, 101.189500
501.000000, 101.163402
500.000000, 101.117261
499.000000, 101.091533
498.000000, 101.135385
497.000000, 101.126947
496.000000, 101.112689
495.000000, 101.080511
494.000000, 101.076374
493.000000, 101.121855
492.000000, 101.090330
491.000000, 101.101787
490.000000, 101.096016
489.000000, 101.050650
488.000000, 101.057559
487.000000, 101.035715
486.000000, 101.043083
485.000000, 101.017177
484.000000, 101.042817
483.000000, 101.038689
482.000000, 101.027569
481.000000, 100.993431
480.000000, 100.969230
479.000000, 101.007968
478.000000, 100.985830
477.000000, 100.962485
476.000000, 100.986806
475.000000, 100.970913
474.000000, 100.936073
473.000000, 100.883809
472.000000, 100.960401
471.000000, 100.933768
470.000000, 100.898591
469.000000, 100.859342
468.000000, 100.853369
467.000000, 100.841651
466.000000, 100.872869
465.000000, 100.810447
464.000000, 100.791924
463.000000, 100.772836
462.000000, 100.735750
461.000000, 100.772391
460.000000, 100.832287
459.000000, 100.748223
458.000000, 100.722828
457.000000, 100.683390
456.000000, 100.706544
455.000000, 100.711779
454.000000, 100.684513
453.000000, 100.664407
452.000000, 100.633645
451.000000, 100.580962
450.000000, 100.533783
449.000000, 100.502691
448.000000, 100.499444
447.000000, 100.494558
446.000000, 100.529584
445.000000, 100.517282
444.000000, 100.416849
443.000000, 100.374914
442.000000, 100.408824
441.000000, 100.415120
440.000000, 100.397007
439.000000, 100.285571
438.000000, 100.271261
437.000000, 100.220719
436.000000, 100.149113
435.000000, 100.094140
434.000000, 100.024851
433.000000, 99.971165
432.000000, 99.961187
431.000000, 99.879407
430.000000, 99.796619
429.000000, 99.796829
428.000000, 99.745499
427.000000, 99.638634
426.000000, 99.592229
425.000000, 99.498434
424.000000, 99.390387
423.000000, 99.301368
422.000000, 99.234174
421.000000, 99.196468
420.000000, 99.080845
419.000000, 98.878135
418.000000, 98.805264
417.000000, 98.717948
416.000000, 98.564728
415.000000, 98.428617
414.000000, 98.357645
413.000000, 98.237136
412.000000, 98.115936
411.000000, 97.967567
410.000000, 97.812146
409.000000, 97.648777
408.000000, 97.503438
407.000000, 97.277554
406.000000, 97.084952
405.000000, 96.897163
404.000000, 96.626394
403.000000, 96.295721
402.000000, 95.923139
401.000000, 95.491673
400.000000, 94.988027
399.000000, 94.435675
398.000000, 93.743797
397.000000, 92.953900
396.000000, 92.018557
395.000000, 90.931703
394.000000, 89.704074
393.000000, 88.208722
392.000000, 86.440526
391.000000, 84.356700
390.000000, 81.845376
389.000000, 78.882497
388.000000, 75.393213
387.000000, 71.368158
386.000000, 66.803402
385.000000, 61.830270
384.000000, 56.825243
383.000000, 52.159199
382.000000, 48.318139
381.000000, 45.709793
380.000000, 44.256968
379.000000, 43.655108
378.000000, 43.461362
377.000000, 43.465555
376.000000, 43.525349
375.000000, 43.607990
374.000000, 43.747212
373.000000, 43.857467
372.000000, 43.955041
371.000000, 44.053376
370.000000, 44.092866
369.000000, 44.103347
368.000000, 44.189705
367.000000, 44.314051
366.000000, 44.353793
365.000000, 44.341581
364.000000, 44.393705
363.000000, 44.450762
362.000000, 44.437422
361.000000, 44.375481
360.000000, 44.292523
359.000000, 44.201983
358.000000, 44.121114
357.000000, 44.049732
356.000000, 44.015012
355.000000, 44.137857
354.000000, 44.174857
353.000000, 44.220376
352.000000, 44.424670
351.000000, 44.623702
350.000000, 44.774996
349.000000, 44.926882
348.000000, 45.012365
347.000000, 45.197598
346.000000, 45.290127
345.000000, 45.318335
344.000000, 45.324393
343.000000, 45.359949
342.000000, 45.411014
341.000000, 45.365903
340.000000, 45.369222
339.000000, 45.343501
338.000000, 45.318056
337.000000, 45.356820
336.000000, 45.499424
335.000000, 45.613167
334.000000, 45.617536
333.000000, 45.761764
332.000000, 45.917038
331.000000, 46.048025
330.000000, 46.141389
329.000000, 46.216436
328.000000, 46.312926
327.000000, 46.385485
326.000000, 46.580155
325.000000, 46.702031
324.000000, 46.887895
323.000000, 46.965319
322.000000, 47.127534
321.000000, 47.396563
320.000000, 47.583953
319.000000, 47.617700
318.000000, 47.817931
317.000000, 48.003336
316.000000, 48.318659
315.000000, 48.574427
314.000000, 48.808068
313.000000, 48.957655
312.000000, 49.245451
311.000000, 49.322722
310.000000, 49.602392
309.000000, 49.735399
308.000000, 49.898867
307.000000, 50.053904
306.000000, 50.111361
305.000000, 50.218602
304.000000, 50.089599
303.000000, 49.893003
302.000000, 49.644592
301.000000, 49.371531
300.000000, 49.160705
299.000000, 49.017313
298.000000, 48.868556
297.000000, 48.789948
296.000000, 48.683457
295.000000, 48.817354
294.000000, 49.003607
293.000000, 49.109061
292.000000, 49.081424
291.000000, 49.065974
290.000000, 49.007248
289.000000, 48.992237
288.000000, 49.067560
287.000000, 49.137225
286.000000, 49.256618
285.000000, 49.513212
284.000000, 49.735797
283.000000, 50.007519
282.000000, 50.350934
281.000000, 50.623487
280.000000, 50.923400
279.000000, 51.304694
278.000000, 51.510856
277.000000, 51.872837
276.000000, 52.231115
275.000000, 52.588790
274.000000, 53.078373
273.000000, 53.480557
272.000000, 54.048971
271.000000, 54.607285
270.000000, 55.159330
269.000000, 55.705457
268.000000, 56.411735
267.000000, 57.113717
266.000000, 57.723976
265.000000, 58.641953
264.000000, 59.562121
263.000000, 60.471952
262.000000, 61.311839
261.000000, 62.273213
260.000000, 63.355384
259.000000, 64.332553
258.000000, 65.237061
257.000000, 66.082642
256.000000, 66.747430
255.000000, 67.298739
254.000000, 67.760084
253.000000, 68.030945
252.000000, 68.124293
251.000000, 68.223728
250.000000, 68.225786
249.000000, 68.144024
248.000000, 67.907485
247.000000, 67.924822
246.000000, 67.920853
245.000000, 67.904330
244.000000, 68.068876
243.000000, 68.062147
242.000000, 68.167071
241.000000, 68.204886
240.000000, 68.200003
239.000000, 68.194162
238.000000, 68.440430
237.000000, 68.468794
236.000000, 68.582514
235.000000, 69.116464
234.000000, 69.635920
233.000000, 70.142303
232.000000, 70.530865
231.000000, 70.856001
230.000000, 71.189563
229.000000, 71.637247
228.000000, 72.150008
227.000000, 72.818246
226.000000, 73.556302
225.000000, 74.469039
224.000000, 75.286792
223.000000, 76.045334
222.000000, 76.859035
221.000000, 77.547988
