nm, %R
800.000000, 89.050029
799.000000, 89.909517
798.000000, 89.355372
797.000000, 88.514782
796.000000, 87.604338
795.000000, 87.122165
794.000000, 88.090774
793.000000, 89.069868
792.000000, 89.562754
791.000000, 89.481300
790.000000, 88.699044
789.000000, 87.656699
788.000000, 87.331217
787.000000, 88.035856
786.000000, 89.033032
785.000000, 89.702632
784.000000, 89.552563
783.000000, 88.534169
782.000000, 87.587956
781.000000, 87.440432
780.000000, 88.075007
779.000000, 89.061820
778.000000, 89.612152
777.000000, 89.283767
776.000000, 88.538148
775.000000, 87.591701
774.000000, 87.536772
773.000000, 88.276610
772.000000, 89.157467
771.000000, 89.587755
770.000000, 89.128010
769.000000, 88.229243
768.000000, 87.674924
767.000000, 87.786461
766.000000, 88.662942
765.000000, 89.388512
764.000000, 89.469963
763.000000, 88.868980
762.000000, 87.955146
761.000000, 87.668982
760.000000, 88.149721
759.000000, 89.132459
758.000000, 89.518276
757.000000, 89.242157
756.000000, 88.394559
755.000000, 87.720656
754.000000, 88.004033
753.000000, 88.893282
752.000000, 89.412717
751.000000, 89.539137
750.000000, 88.613336
749.000000, 87.998201
748.000000, 87.779998
747.000000, 88.429563
746.000000, 89.271186
745.000000, 89.551929
744.000000, 88.921452
743.000000, 88.198466
742.000000, 87.953387
741.000000, 88.422881
740.000000, 89.272756
739.000000, 89.572194
738.000000, 89.097513
737.000000, 88.237194
736.000000, 87.956115
735.000000, 88.382900
734.000000, 89.236170
733.000000, 89.574650
732.000000, 89.262613
731.000000, 88.347504
730.000000, 87.957339
729.000000, 88.433309
728.000000, 89.170296
727.000000, 89.557140
726.000000, 89.096270
725.000000, 88.374525
724.000000, 88.103376
723.000000, 88.560007
722.000000, 89.293996
721.000000, 89.478932
720.000000, 89.047240
719.000000, 88.366095
718.000000, 88.149599
717.000000, 88.680974
716.000000, 89.372856
715.000000, 89.428364
714.000000, 88.865089
713.000000, 88.232416
712.000000, 88.323106
711.000000, 88.932902
710.000000, 89.511865
709.000000, 89.290615
708.000000, 88.604846
707.000000, 88.291543
706.000000, 88.661575
705.000000, 89.336845
704.000000, 89.573390
703.000000, 89.089913
702.000000, 88.451947
701.000000, 88.462445
700.000000, 89.047594
699.000000, 89.541924
698.000000, 89.349716
697.000000, 88.674679
696.000000, 88.313302
695.000000, 88.730464
694.000000, 89.460673
693.000000, 89.585916
692.000000, 88.941642
691.000000, 88.437964
690.000000, 88.662965
689.000000, 89.292616
688.000000, 89.574208
687.000000, 89.160021
686.000000, 88.542035
685.000000, 88.549678
684.000000, 89.140288
683.000000, 89.581498
682.000000, 89.338029
681.000000, 88.756005
680.000000, 88.649132
679.000000, 89.142999
678.000000, 89.550280
677.000000, 89.364848
676.000000, 88.812979
675.000000, 88.678317
674.000000, 89.164081
673.000000, 89.566568
672.000000, 89.370392
671.000000, 88.824975
670.000000, 88.694822
669.000000, 89.180038
668.000000, 89.592194
667.000000, 89.358737
666.000000, 88.819161
665.000000, 88.752675
664.000000, 89.252824
663.000000, 89.629126
662.000000, 89.364063
661.000000, 88.873627
660.000000, 88.931782
659.000000, 89.412316
658.000000, 89.604097
657.000000, 89.214736
656.000000, 88.802249
655.000000, 89.007991
654.000000, 89.480287
653.000000, 89.546036
652.000000, 89.116100
651.000000, 88.903983
650.000000, 89.276753
649.000000, 89.613067
648.000000, 89.432812
647.000000, 89.028336
646.000000, 89.091138
645.000000, 89.541897
644.000000, 89.607963
643.000000, 89.230540
642.000000, 89.011396
641.000000, 89.323280
640.000000, 89.668074
639.000000, 89.502645
638.000000, 89.142656
637.000000, 89.155470
636.000000, 89.532087
635.000000, 89.632008
634.000000, 89.234832
633.000000, 89.104245
632.000000, 89.463674
631.000000, 89.694905
630.000000, 89.441387
629.000000, 89.185259
628.000000, 89.328281
627.000000, 89.690944
626.000000, 89.544511
625.000000, 89.163381
624.000000, 89.255046
623.000000, 89.668160
622.000000, 89.639187
621.000000, 89.293937
620.000000, 89.278448
619.000000, 89.618757
618.000000, 89.686787
617.000000, 89.339574
616.000000, 89.260168
615.000000, 89.619714
614.000000, 89.720897
613.000000, 89.397220
612.000000, 89.319520
611.000000, 89.650093
610.000000, 89.727360
609.000000, 89.416301
608.000000, 89.361845
607.000000, 89.646410
606.000000, 89.701960
605.000000, 89.436594
604.000000, 89.411598
603.000000, 89.658334
602.000000, 89.730894
601.000000, 89.464910
600.000000, 89.406599
599.000000, 89.672318
598.000000, 89.661434
597.000000, 89.433707
596.000000, 89.457017
595.000000, 89.719437
594.000000, 89.681892
593.000000, 89.484268
592.000000, 89.567438
591.000000, 89.781927
590.000000, 89.554844
589.000000, 89.466448
588.000000, 89.676063
587.000000, 89.737097
586.000000, 89.545337
585.000000, 89.545295
584.000000, 89.809532
583.000000, 89.726088
582.000000, 89.525880
581.000000, 89.678562
580.000000, 89.812787
579.000000, 89.617555
578.000000, 89.533913
577.000000, 89.784037
576.000000, 89.751138
575.000000, 89.549908
574.000000, 89.727351
573.000000, 89.845509
572.000000, 89.720999
571.000000, 89.627612
570.000000, 89.903386
569.000000, 89.847650
568.000000, 89.618756
567.000000, 89.805203
566.000000, 89.856742
565.000000, 89.689815
564.000000, 89.722405
563.000000, 89.916586
562.000000, 89.763815
561.000000, 89.748503
560.000000, 89.880540
559.000000, 89.923579
558.000000, 89.722081
557.000000, 89.874657
556.000000, 89.881051
555.000000, 89.703831
554.000000, 89.847688
553.000000, 89.942389
552.000000, 89.779522
551.000000, 89.863678
550.000000, 89.945731
549.000000, 89.846233
548.000000, 89.790480
547.000000, 89.963917
546.000000, 89.898588
545.000000, 89.832130
544.000000, 89.963173
543.000000, 89.948382
542.000000, 89.835618
541.000000, 89.999918
540.000000, 89.895058
539.000000, 89.835262
538.000000, 90.039917
537.000000, 89.895739
536.000000, 89.833364
535.000000, 90.029059
534.000000, 89.912293
533.000000, 89.914702
532.000000, 90.066151
531.000000, 89.885565
530.000000, 89.926671
529.000000, 90.066099
528.000000, 89.919508
527.000000, 89.976297
526.000000, 90.032277
525.000000, 89.936972
524.000000, 89.971068
523.000000, 90.040317
522.000000, 89.949428
521.000000, 90.021357
520.000000, 90.050489
519.000000, 89.968704
518.000000, 90.029352
517.000000, 90.019922
516.000000, 89.959774
515.000000, 90.048810
514.000000, 89.966679
513.000000, 90.027499
512.000000, 90.030640
511.000000, 90.027822
510.000000, 90.048312
509.000000, 90.005282
508.000000, 90.023246
