nm, %R
800.000000, 101.276145
799.000000, 101.108276
798.000000, 101.041137
797.000000, 101.383851
796.000000, 101.554765
795.000000, 101.734365
794.000000, 101.625871
793.000000, 101.298923
792.000000, 101.137062
791.000000, 101.002129
790.000000, 101.105686
789.000000, 101.724205
788.000000, 101.957668
787.000000, 101.740764
786.000000, 101.353428
785.000000, 101.085634
784.000000, 101.035665
783.000000, 101.311583
782.000000, 101.794710
781.000000, 101.931851
780.000000, 101.642894
779.000000, 101.346039
778.000000, 100.944262
777.000000, 101.006488
776.000000, 101.320654
775.000000, 101.645925
774.000000, 101.703847
773.000000, 101.649077
772.000000, 101.129859
771.000000, 100.930186
770.000000, 101.093785
769.000000, 101.543811
768.000000, 101.820640
767.000000, 101.689765
766.000000, 101.344254
765.000000, 101.116175
764.000000, 101.118239
763.000000, 101.243354
762.000000, 101.424004
761.000000, 101.697653
760.000000, 101.446759
759.000000, 100.958695
758.000000, 100.961583
757.000000, 101.102364
756.000000, 101.510378
755.000000, 101.788958
754.000000, 101.588615
753.000000, 101.382051
752.000000, 101.107045
751.000000, 101.092187
750.000000, 101.441240
749.000000, 101.762186
748.000000, 101.654130
747.000000, 101.490444
746.000000, 101.161095
745.000000, 101.165796
744.000000, 101.353490
743.000000, 101.608498
742.000000, 101.621473
741.000000, 101.389844
740.000000, 101.203156
739.000000, 101.124931
738.000000, 101.393703
737.000000, 101.519231
736.000000, 101.740963
735.000000, 101.460927
734.000000, 101.303111
733.000000, 101.234043
732.000000, 101.359580
731.000000, 101.621624
730.000000, 101.600565
729.000000, 101.430916
728.000000, 101.232264
727.000000, 101.176622
726.000000, 101.482934
725.000000, 101.650668
724.000000, 101.567937
723.000000, 101.355416
722.000000, 101.198276
721.000000, 101.202058
720.000000, 101.521508
719.000000, 101.687510
718.000000, 101.583064
717.000000, 101.312974
716.000000, 101.291084
715.000000, 101.373881
714.000000, 101.614593
713.000000, 101.690704
712.000000, 101.431476
711.000000, 101.174929
710.000000, 101.184886
709.000000, 101.474911
708.000000, 101.708269
707.000000, 101.545896
706.000000, 101.303108
705.000000, 101.227068
704.000000, 101.332770
703.000000, 101.501720
702.000000, 101.660956
701.000000, 101.408649
700.000000, 101.202280
699.000000, 101.259835
698.000000, 101.504046
697.000000, 101.621309
696.000000, 101.498567
695.000000, 101.285937
694.000000, 101.258879
693.000000, 101.438858
692.000000, 101.566586
691.000000, 101.531970
690.000000, 101.335699
689.000000, 101.199117
688.000000, 101.308857
687.000000, 101.513798
686.000000, 101.482428
685.000000, 101.339511
684.000000, 101.214569
683.000000, 101.268768
682.000000, 101.474123
681.000000, 101.502958
680.000000, 101.334323
679.000000, 101.229558
678.000000, 101.350124
677.000000, 101.512786
676.000000, 101.528201
675.000000, 101.382343
674.000000, 101.262638
673.000000, 101.346336
672.000000, 101.517788
671.000000, 101.545197
670.000000, 101.349836
669.000000, 101.236895
668.000000, 101.356492
667.000000, 101.506580
666.000000, 101.487126
665.000000, 101.320745
664.000000, 101.164049
663.000000, 101.299023
662.000000, 101.494913
661.000000, 101.440463
660.000000, 101.329867
659.000000, 101.253275
658.000000, 101.324637
657.000000, 101.431747
656.000000, 101.327241
655.000000, 101.205733
654.000000, 101.302667
653.000000, 101.465495
652.000000, 101.441212
651.000000, 101.318458
650.000000, 101.259580
649.000000, 101.323772
648.000000, 101.458626
647.000000, 101.416162
646.000000, 101.287749
645.000000, 101.293390
644.000000, 101.337440
643.000000, 101.351254
642.000000, 101.245630
641.000000, 101.188516
640.000000, 101.277905
639.000000, 101.394181
638.000000, 101.393739
637.000000, 101.307519
636.000000, 101.334280
635.000000, 101.412667
634.000000, 101.384287
633.000000, 101.261063
632.000000, 101.238774
631.000000, 101.290371
630.000000, 101.344458
629.000000, 101.325364
628.000000, 101.281049
627.000000, 101.346641
626.000000, 101.373321
625.000000, 101.320223
624.000000, 101.240869
623.000000, 101.286611
622.000000, 101.355373
621.000000, 101.334905
620.000000, 101.209302
619.000000, 101.235221
618.000000, 101.318118
617.000000, 101.292084
616.000000, 101.214482
615.000000, 101.242127
614.000000, 101.290890
613.000000, 101.302195
612.000000, 101.250761
611.000000, 101.308252
610.000000, 101.361591
