nm, %R
800.000000, 86.795036
799.000000, 86.458325
798.000000, 86.074201
797.000000, 85.893915
796.000000, 86.080104
795.000000, 86.307436
794.000000, 86.617972
793.000000, 86.716135
792.000000, 86.531457
791.000000, 86.067959
790.000000, 85.846361
789.000000, 86.252024
788.000000, 86.418030
787.000000, 86.636472
786.000000, 86.719731
785.000000, 86.569619
784.000000, 86.359630
783.000000, 86.048626
782.000000, 86.119608
781.000000, 86.528829
780.000000, 86.700852
779.000000, 86.763955
778.000000, 86.479136
777.000000, 86.251181
776.000000, 86.055234
775.000000, 86.185447
774.000000, 86.547327
773.000000, 86.665842
772.000000, 86.564520
771.000000, 86.438415
770.000000, 86.197433
769.000000, 86.277084
768.000000, 86.296769
767.000000, 86.591632
766.000000, 86.732914
765.000000, 86.562636
764.000000, 86.281574
763.000000, 86.165040
762.000000, 86.256773
761.000000, 86.485564
760.000000, 86.565700
759.000000, 86.586407
758.000000, 86.355939
757.000000, 86.193672
756.000000, 86.216567
755.000000, 86.392551
754.000000, 86.592659
753.000000, 86.696683
752.000000, 86.568857
751.000000, 86.328320
750.000000, 86.287696
749.000000, 86.397282
748.000000, 86.590912
747.000000, 86.734373
746.000000, 86.691843
745.000000, 86.472906
744.000000, 86.355939
743.000000, 86.378732
742.000000, 86.559372
741.000000, 86.741862
740.000000, 86.703355
739.000000, 86.536615
738.000000, 86.422570
737.000000, 86.436051
736.000000, 86.565079
735.000000, 86.775302
734.000000, 86.768460
733.000000, 86.570770
732.000000, 86.487435
731.000000, 86.526266
730.000000, 86.641804
729.000000, 86.727252
728.000000, 86.701389
727.000000, 86.551319
726.000000, 86.513560
725.000000, 86.514721
724.000000, 86.688504
723.000000, 86.795565
722.000000, 86.730697
721.000000, 86.614562
720.000000, 86.529950
719.000000, 86.613440
718.000000, 86.702400
717.000000, 86.801332
716.000000, 86.710248
715.000000, 86.571352
714.000000, 86.631467
713.000000, 86.710246
712.000000, 86.789786
711.000000, 86.784623
710.000000, 86.695941
709.000000, 86.563219
708.000000, 86.568714
707.000000, 86.805929
706.000000, 86.909494
705.000000, 86.852072
704.000000, 86.707936
703.000000, 86.684642
702.000000, 86.787910
701.000000, 86.887238
700.000000, 86.903896
699.000000, 86.785414
698.000000, 86.664499
697.000000, 86.757885
696.000000, 86.885899
695.000000, 86.891104
694.000000, 86.802695
693.000000, 86.721393
692.000000, 86.761032
691.000000, 86.940790
690.000000, 86.959164
689.000000, 86.893651
688.000000, 86.848987
687.000000, 86.816801
686.000000, 86.902690
685.000000, 86.965047
684.000000, 86.918465
683.000000, 86.790852
682.000000, 86.798513
681.000000, 86.866954
680.000000, 86.979513
679.000000, 86.959583
678.000000, 86.850948
677.000000, 86.850703
676.000000, 86.923772
675.000000, 86.983285
674.000000, 86.950601
673.000000, 86.888781
672.000000, 86.905655
671.000000, 86.955186
670.000000, 87.022626
669.000000, 87.006962
668.000000, 86.913082
667.000000, 86.894924
666.000000, 87.011160
665.000000, 87.088766
664.000000, 87.045476
663.000000, 86.929629
662.000000, 86.939917
661.000000, 87.028991
660.000000, 87.090894
659.000000, 87.047150
658.000000, 86.972868
657.000000, 87.014170
656.000000, 87.067686
655.000000, 87.069843
654.000000, 87.023243
653.000000, 87.010149
652.000000, 87.029594
651.000000, 87.087933
650.000000, 87.048008
649.000000, 86.974806
648.000000, 86.994874
647.000000, 87.084635
646.000000, 87.130211
645.000000, 87.080838
644.000000, 87.046163
643.000000, 87.080701
642.000000, 87.116790
641.000000, 87.076444
640.000000, 87.003860
639.000000, 87.062618
638.000000, 87.098724
637.000000, 87.095333
636.000000, 87.051366
635.000000, 87.065588
634.000000, 87.099015
633.000000, 87.154186
632.000000, 87.100494
631.000000, 87.087006
630.000000, 87.136029
629.000000, 87.173532
628.000000, 87.123059
627.000000, 87.092826
626.000000, 87.088971
625.000000, 87.165697
624.000000, 87.127354
623.000000, 87.085567
622.000000, 87.116752
621.000000, 87.206544
620.000000, 87.179764
619.000000, 87.166003
618.000000, 87.170770
617.000000, 87.217394
616.000000, 87.205675
615.000000, 87.185084
614.000000, 87.123992
613.000000, 87.176330
612.000000, 87.224887
611.000000, 87.147050
610.000000, 87.150446
609.000000, 87.224760
608.000000, 87.183699
607.000000, 87.140186
606.000000, 87.176397
605.000000, 87.240389
604.000000, 87.196776
603.000000, 87.210664
602.000000, 87.186481
601.000000, 87.215976
600.000000, 87.231805
599.000000, 87.205218
598.000000, 87.202484
597.000000, 87.284445
596.000000, 87.239114
595.000000, 87.195289
594.000000, 87.204881
593.000000, 87.262647
592.000000, 87.218881
591.000000, 87.223409
590.000000, 87.236296
589.000000, 87.258432
588.000000, 87.200282
587.000000, 87.237196
586.000000, 87.268375
