nm, %R
800.000000, 101.101717
799.000000, 100.883863
798.000000, 101.028099
797.000000, 101.227127
796.000000, 101.557543
795.000000, 101.510557
794.000000, 101.313878
793.000000, 101.062908
792.000000, 101.043636
791.000000, 101.068605
790.000000, 101.075794
789.000000, 101.623075
788.000000, 101.589564
787.000000, 101.475358
786.000000, 101.014944
785.000000, 100.917451
784.000000, 101.042371
783.000000, 101.323729
782.000000, 101.505660
781.000000, 101.552095
780.000000, 101.372425
779.000000, 101.072745
778.000000, 101.009953
777.000000, 100.920100
776.000000, 101.143948
775.000000, 101.424183
774.000000, 101.458137
773.000000, 101.177619
772.000000, 100.967620
771.000000, 100.927106
770.000000, 101.060668
769.000000, 101.355654
768.000000, 101.513726
767.000000, 101.408037
766.000000, 101.111367
765.000000, 100.849179
764.000000, 101.033749
763.000000, 101.257027
762.000000, 101.363443
761.000000, 101.429168
760.000000, 101.185450
759.000000, 100.869232
758.000000, 100.824190
757.000000, 101.101760
756.000000, 101.318267
755.000000, 101.364800
754.000000, 101.198974
753.000000, 101.169494
752.000000, 100.902940
751.000000, 101.104737
750.000000, 101.373509
749.000000, 101.463503
748.000000, 101.434267
747.000000, 101.201761
746.000000, 101.005252
745.000000, 101.114494
744.000000, 101.304847
743.000000, 101.504632
742.000000, 101.353821
741.000000, 101.128819
740.000000, 100.938582
739.000000, 101.028886
738.000000, 101.272246
737.000000, 101.401201
736.000000, 101.421990
735.000000, 101.154685
734.000000, 101.075682
733.000000, 101.083948
732.000000, 101.254734
731.000000, 101.449183
730.000000, 101.378818
729.000000, 101.264343
728.000000, 101.049158
727.000000, 101.085729
726.000000, 101.348217
725.000000, 101.415422
724.000000, 101.312850
723.000000, 101.100465
722.000000, 100.995419
721.000000, 101.072922
720.000000, 101.371956
719.000000, 101.427055
718.000000, 101.243598
717.000000, 101.010224
716.000000, 101.056606
715.000000, 101.172458
714.000000, 101.376226
713.000000, 101.365616
712.000000, 101.126285
711.000000, 100.948398
710.000000, 101.081416
709.000000, 101.304122
708.000000, 101.413570
707.000000, 101.208148
706.000000, 101.016371
705.000000, 101.037378
704.000000, 101.141466
703.000000, 101.276188
702.000000, 101.381817
701.000000, 101.126866
700.000000, 101.016674
699.000000, 101.085460
698.000000, 101.258596
697.000000, 101.299296
696.000000, 101.190476
695.000000, 101.092334
694.000000, 101.052537
693.000000, 101.140445
692.000000, 101.259566
691.000000, 101.250986
690.000000, 101.075321
689.000000, 100.980685
688.000000, 101.106354
687.000000, 101.230860
686.000000, 101.233135
685.000000, 101.123237
684.000000, 101.022084
683.000000, 101.029201
682.000000, 101.113414
681.000000, 101.148541
680.000000, 101.048734
679.000000, 100.980281
678.000000, 101.110598
677.000000, 101.241993
676.000000, 101.212065
675.000000, 101.102504
674.000000, 100.993423
673.000000, 101.035033
672.000000, 101.149023
671.000000, 101.173378
670.000000, 101.055179
669.000000, 100.997372
668.000000, 101.109167
667.000000, 101.221455
666.000000, 101.162214
665.000000, 100.995964
664.000000, 100.907029
663.000000, 101.022806
662.000000, 101.083584
661.000000, 101.048618
660.000000, 101.023064
659.000000, 100.960829
658.000000, 101.029627
657.000000, 101.131448
656.000000, 101.047501
655.000000, 100.914441
654.000000, 100.988135
653.000000, 101.125049
652.000000, 101.079295
651.000000, 101.010528
650.000000, 100.995822
649.000000, 101.028644
648.000000, 101.059449
647.000000, 101.034725
646.000000, 100.965699
