nm, %R
800.000000, 86.746274
799.000000, 86.146511
798.000000, 85.576758
797.000000, 85.120413
796.000000, 85.602181
795.000000, 86.178341
794.000000, 86.723376
793.000000, 86.677108
792.000000, 86.320516
791.000000, 85.530960
790.000000, 85.237121
789.000000, 85.571960
788.000000, 86.219487
787.000000, 86.531673
786.000000, 86.719731
785.000000, 86.359891
784.000000, 85.712528
783.000000, 85.331631
782.000000, 85.651905
781.000000, 86.373334
780.000000, 86.787503
779.000000, 86.700562
778.000000, 86.181472
777.000000, 85.595904
776.000000, 85.451058
775.000000, 85.789245
774.000000, 86.335158
773.000000, 86.793760
772.000000, 86.536857
771.000000, 86.022752
770.000000, 85.588762
769.000000, 85.475328
768.000000, 85.873549
767.000000, 86.447601
766.000000, 86.750834
765.000000, 86.463569
764.000000, 85.851584
763.000000, 85.527819
762.000000, 85.711157
761.000000, 86.304714
760.000000, 86.613856
759.000000, 86.526466
758.000000, 86.157268
757.000000, 85.703419
756.000000, 85.618392
755.000000, 86.008461
754.000000, 86.528394
753.000000, 86.685718
752.000000, 86.408279
751.000000, 85.859644
750.000000, 85.701358
749.000000, 85.939158
748.000000, 86.368372
747.000000, 86.688383
746.000000, 86.581653
745.000000, 86.122959
744.000000, 85.770157
743.000000, 85.851378
742.000000, 86.337282
741.000000, 86.730829
740.000000, 86.646844
739.000000, 86.243728
738.000000, 85.915406
737.000000, 85.883414
736.000000, 86.295827
735.000000, 86.722006
734.000000, 86.716851
733.000000, 86.226654
732.000000, 85.884710
731.000000, 85.964725
730.000000, 86.321245
729.000000, 86.707955
728.000000, 86.712487
727.000000, 86.266825
726.000000, 85.885527
725.000000, 85.982276
724.000000, 86.456767
723.000000, 86.750560
722.000000, 86.656594
721.000000, 86.266373
720.000000, 85.993695
719.000000, 86.198671
718.000000, 86.507596
717.000000, 86.767461
716.000000, 86.583456
715.000000, 86.154771
714.000000, 86.050922
713.000000, 86.403756
712.000000, 86.692832
711.000000, 86.701101
710.000000, 86.469913
709.000000, 86.137809
708.000000, 86.144550
707.000000, 86.534126
706.000000, 86.845391
705.000000, 86.771895
704.000000, 86.373455
703.000000, 86.212910
702.000000, 86.406504
701.000000, 86.751243
700.000000, 86.853802
699.000000, 86.555626
698.000000, 86.251271
