nm, %R
800.000000, 99.689969
799.000000, 99.871932
798.000000, 99.791952
797.000000, 99.705643
796.000000, 99.911848
795.000000, 99.757157
794.000000, 99.923578
793.000000, 99.713811
792.000000, 99.807275
791.000000, 99.802545
790.000000, 99.820749
789.000000, 99.805856
788.000000, 99.770111
787.000000, 99.789731
786.000000, 99.979844
785.000000, 99.722628
784.000000, 100.020080
783.000000, 99.752188
782.000000, 99.844598
781.000000, 99.736238
780.000000, 99.841313
779.000000, 99.872057
778.000000, 99.800434
777.000000, 99.752823
776.000000, 99.825147
775.000000, 99.738540
774.000000, 99.678209
773.000000, 99.768616
772.000000, 99.684590
771.000000, 99.653958
770.000000, 99.765300
769.000000, 99.631941
768.000000, 99.879180
767.000000, 99.668579
766.000000, 99.763874
765.000000, 99.696638
764.000000, 99.663657
763.000000, 99.623217
762.000000, 99.588273
761.000000, 99.636453
760.000000, 99.607448
759.000000, 99.768982
758.000000, 99.683128
757.000000, 99.784950
756.000000, 99.669253
755.000000, 99.635670
754.000000, 99.771322
753.000000, 99.930282
752.000000, 99.747041
751.000000, 99.718382
750.000000, 99.601835
749.000000, 99.879543
748.000000, 99.824461
747.000000, 99.701393
746.000000, 99.740020
745.000000, 99.776864
744.000000, 99.775585
743.000000, 99.921043
742.000000, 99.972535
741.000000, 99.916206
740.000000, 99.864547
739.000000, 99.847383
738.000000, 99.762866
737.000000, 99.811790
736.000000, 99.857224
735.000000, 99.831752
734.000000, 99.837952
733.000000, 99.821550
732.000000, 99.842342
731.000000, 99.798337
730.000000, 99.779672
729.000000, 99.883605
728.000000, 99.831612
727.000000, 99.789987
726.000000, 99.741724
725.000000, 99.752110
724.000000, 99.815808
723.000000, 99.793921
722.000000, 99.778306
721.000000, 99.751718
720.000000, 99.817149
719.000000, 99.806351
718.000000, 99.754981
717.000000, 99.749405
716.000000, 99.787248
715.000000, 99.754871
714.000000, 99.805017
713.000000, 99.780986
712.000000, 99.840319
711.000000, 99.801677
710.000000, 99.858376
709.000000, 99.812525
708.000000, 99.717066
707.000000, 99.771105
706.000000, 99.838092
705.000000, 99.810752
704.000000, 99.791662
703.000000, 99.783949
702.000000, 99.737067
701.000000, 99.755127
700.000000, 99.801457
699.000000, 99.805398
698.000000, 99.763884
697.000000, 99.718649
696.000000, 99.739048
695.000000, 99.740703
694.000000, 99.755711
693.000000, 99.770101
692.000000, 99.724260
691.000000, 99.701081
690.000000, 99.759082
689.000000, 99.753851
688.000000, 99.757556
687.000000, 99.736842
686.000000, 99.691674
685.000000, 99.691561
684.000000, 99.712504
683.000000, 99.756976
682.000000, 99.756828
681.000000, 99.768525
680.000000, 99.798876
679.000000, 99.799654
678.000000, 99.735711
677.000000, 99.732083
676.000000, 99.770814
675.000000, 99.768708
674.000000, 99.723994
673.000000, 99.689079
672.000000, 99.703639
671.000000, 99.672599
670.000000, 99.692760
669.000000, 99.707610
668.000000, 99.699239
667.000000, 99.693351
666.000000, 99.710416
665.000000, 99.714137
664.000000, 99.682999
663.000000, 99.700980
662.000000, 99.725823
661.000000, 99.720008
660.000000, 99.712714
659.000000, 99.693692
658.000000, 99.718678
657.000000, 99.727831
656.000000, 99.694050
655.000000, 99.673718
654.000000, 99.648491
653.000000, 99.696687
652.000000, 99.699792
651.000000, 99.710714
650.000000, 99.667643
649.000000, 99.654529
648.000000, 99.735241
647.000000, 99.719339
646.000000, 99.708118
645.000000, 99.709302
644.000000, 99.641527
643.000000, 99.678125
642.000000, 99.704501
641.000000, 99.709193
640.000000, 99.718439
639.000000, 99.717626
638.000000, 99.717607
637.000000, 99.707975
636.000000, 99.682662
635.000000, 99.724738
634.000000, 99.693569
633.000000, 99.679878
632.000000, 99.683533
631.000000, 99.653294
630.000000, 99.685287
629.000000, 99.727133
628.000000, 99.706046
627.000000, 99.706649
626.000000, 99.685540
625.000000, 99.679830
624.000000, 99.684622
623.000000, 99.732245
622.000000, 99.709938
621.000000, 99.698080
620.000000, 99.710382
619.000000, 99.712864
618.000000, 99.722456
617.000000, 99.750087
616.000000, 99.698682
615.000000, 99.717644
614.000000, 99.675253
613.000000, 99.668406
612.000000, 99.708255
611.000000, 99.697101
610.000000, 99.685913
609.000000, 99.724198
608.000000, 99.752300
607.000000, 99.725802
606.000000, 99.695909
605.000000, 99.702880
604.000000, 99.711129
603.000000, 99.730142
602.000000, 99.748213
601.000000, 99.748171
600.000000, 99.703164
599.000000, 99.646882
598.000000, 99.623262
597.000000, 99.733585
596.000000, 99.692299
595.000000, 99.694794
594.000000, 99.708151
593.000000, 99.703025
592.000000, 99.651798
591.000000, 99.690021
590.000000, 99.671624
589.000000, 99.685399
588.000000, 99.656848
587.000000, 99.668018
586.000000, 99.693699
585.000000, 99.743114
584.000000, 99.703609
583.000000, 99.698898
582.000000, 99.703709
581.000000, 99.715511
580.000000, 99.679540
579.000000, 99.722100
578.000000, 99.689529
577.000000, 99.729059
576.000000, 99.686201
575.000000, 99.670191
574.000000, 99.687929
573.000000, 99.728945
572.000000, 99.726303
571.000000, 99.723781
570.000000, 99.793872
569.000000, 99.716774
568.000000, 99.698954
567.000000, 99.763089
566.000000, 99.741330
565.000000, 99.744526
564.000000, 99.696446
563.000000, 99.721770
562.000000, 99.741167
561.000000, 99.751684
560.000000, 99.723910
559.000000, 99.780758
558.000000, 99.712238
557.000000, 99.764766
556.000000, 99.730115
555.000000, 99.696787
554.000000, 99.718499
553.000000, 99.719218
552.000000, 99.718403
551.000000, 99.727901
550.000000, 99.724745
549.000000, 99.741070
548.000000, 99.715142
