nm, %R
800.000000, 87.064366
799.000000, 87.261253
798.000000, 86.910518
797.000000, 87.158211
796.000000, 87.000937
795.000000, 86.922479
794.000000, 87.065580
793.000000, 87.042792
792.000000, 87.182319
791.000000, 87.063241
790.000000, 87.085360
789.000000, 87.043928
788.000000, 86.976088
787.000000, 87.166692
786.000000, 87.186012
785.000000, 87.155292
784.000000, 87.230333
783.000000, 87.101025
782.000000, 87.027029
781.000000, 87.091728
780.000000, 87.131235
779.000000, 87.143103
778.000000, 87.156158
777.000000, 86.961567
776.000000, 87.179148
775.000000, 87.157159
774.000000, 87.019975
773.000000, 87.069097
772.000000, 87.040091
771.000000, 87.079594
770.000000, 87.169549
769.000000, 87.053514
768.000000, 87.121010
767.000000, 87.039861
766.000000, 87.151134
765.000000, 87.173658
764.000000, 87.059990
763.000000, 87.164417
762.000000, 87.088004
761.000000, 87.077324
760.000000, 87.159115
759.000000, 87.192422
758.000000, 87.177277
757.000000, 87.252256
756.000000, 87.094215
755.000000, 87.147002
754.000000, 87.248444
753.000000, 87.317770
752.000000, 87.135477
751.000000, 87.196457
750.000000, 87.126303
749.000000, 87.280754
748.000000, 87.188531
747.000000, 87.263538
746.000000, 87.275657
745.000000, 87.192917
744.000000, 87.249872
743.000000, 87.321922
742.000000, 87.328308
741.000000, 87.354570
740.000000, 87.304975
739.000000, 87.291232
738.000000, 87.227052
737.000000, 87.260001
736.000000, 87.302525
735.000000, 87.353744
734.000000, 87.352808
733.000000, 87.321101
732.000000, 87.364763
731.000000, 87.364311
730.000000, 87.400388
729.000000, 87.419934
728.000000, 87.337572
727.000000, 87.370726
726.000000, 87.393839
725.000000, 87.359361
724.000000, 87.331578
723.000000, 87.344969
722.000000, 87.336266
721.000000, 87.306947
720.000000, 87.437555
719.000000, 87.427338
718.000000, 87.359625
717.000000, 87.418845
716.000000, 87.404367
715.000000, 87.339352
714.000000, 87.431807
713.000000, 87.457756
712.000000, 87.464094
711.000000, 87.407632
710.000000, 87.426175
709.000000, 87.413040
708.000000, 87.390897
707.000000, 87.426780
706.000000, 87.464906
705.000000, 87.433664
704.000000, 87.467898
703.000000, 87.508962
702.000000, 87.484142
701.000000, 87.485343
700.000000, 87.544121
699.000000, 87.541672
698.000000, 87.492788
697.000000, 87.514172
696.000000, 87.542775
695.000000, 87.507518
694.000000, 87.537604
693.000000, 87.564778
692.000000, 87.532403
691.000000, 87.513410
690.000000, 87.614392
689.000000, 87.598030
688.000000, 87.550998
687.000000, 87.575650
686.000000, 87.561191
685.000000, 87.581124
684.000000, 87.569694
683.000000, 87.610948
682.000000, 87.630749
681.000000, 87.625805
680.000000, 87.604997
679.000000, 87.591413
678.000000, 87.608267
677.000000, 87.623479
676.000000, 87.638489
675.000000, 87.635229
674.000000, 87.641273
673.000000, 87.623627
672.000000, 87.645892
671.000000, 87.637098
670.000000, 87.626226
669.000000, 87.670889
668.000000, 87.675068
667.000000, 87.672255
666.000000, 87.679515
665.000000, 87.642317
664.000000, 87.670949
663.000000, 87.703405
662.000000, 87.732616
661.000000, 87.787529
660.000000, 87.782279
659.000000, 87.779333
658.000000, 87.780571
657.000000, 87.726684
656.000000, 87.724788
655.000000, 87.724112
654.000000, 87.707139
653.000000, 87.755505
652.000000, 87.778449
651.000000, 87.781048
650.000000, 87.786491
649.000000, 87.792498
648.000000, 87.794844
647.000000, 87.802881
646.000000, 87.834705
645.000000, 87.827563
644.000000, 87.778554
643.000000, 87.787183
642.000000, 87.807632
641.000000, 87.826686
640.000000, 87.821863
639.000000, 87.859888
638.000000, 87.885757
637.000000, 87.894172
636.000000, 87.875899
635.000000, 87.880906
634.000000, 87.855983
633.000000, 87.862952
632.000000, 87.894411
631.000000, 87.867378
630.000000, 87.859979
629.000000, 87.921862
628.000000, 87.909564
627.000000, 87.902783
626.000000, 87.905907
625.000000, 87.927356
624.000000, 87.922628
623.000000, 87.964316
622.000000, 87.948195
621.000000, 87.936470
620.000000, 87.944869
619.000000, 87.979941
618.000000, 88.002190
617.000000, 87.968485
616.000000, 87.961204
615.000000, 87.992733
614.000000, 87.976500
613.000000, 87.975226
612.000000, 88.022624
611.000000, 88.019505
610.000000, 88.009963
609.000000, 88.001469
608.000000, 88.078457
607.000000, 88.023474
606.000000, 87.977178
605.000000, 88.005913
604.000000, 88.046067
603.000000, 88.032578
602.000000, 88.056210
601.000000, 88.071834
600.000000, 88.027792
599.000000, 88.038797
598.000000, 88.004493
597.000000, 88.107881
596.000000, 88.074765
595.000000, 88.074402
594.000000, 88.113735
593.000000, 88.119109
592.000000, 88.069010
591.000000, 88.134596
590.000000, 88.076878
589.000000, 88.094567
588.000000, 88.095713
587.000000, 88.123407
586.000000, 88.127359
585.000000, 88.131379
584.000000, 88.125964
583.000000, 88.154102
582.000000, 88.130491
581.000000, 88.159321
580.000000, 88.153599
579.000000, 88.164638
578.000000, 88.150133
577.000000, 88.195426
576.000000, 88.166267
575.000000, 88.160537
574.000000, 88.196407
573.000000, 88.181053
572.000000, 88.235732
571.000000, 88.209378
570.000000, 88.226840
569.000000, 88.255118
568.000000, 88.198435
567.000000, 88.235123
566.000000, 88.232153
565.000000, 88.230559
564.000000, 88.228343
563.000000, 88.268562
562.000000, 88.241896
561.000000, 88.263059
560.000000, 88.265984
559.000000, 88.384426
558.000000, 88.323806
557.000000, 88.326547
556.000000, 88.275646
555.000000, 88.323919
554.000000, 88.310202
553.000000, 88.306964
552.000000, 88.307455
551.000000, 88.398872
550.000000, 88.369740
549.000000, 88.404335
548.000000, 88.337185
547.000000, 88.395918
546.000000, 88.354533
545.000000, 88.378447
544.000000, 88.375626
543.000000, 88.428667
542.000000, 88.365662
541.000000, 88.433104
540.000000, 88.416448
539.000000, 88.411489
538.000000, 88.429031
537.000000, 88.432649
536.000000, 88.416954
535.000000, 88.480957
534.000000, 88.455445
533.000000, 88.459198
532.000000, 88.495518
531.000000, 88.460175
530.000000, 88.493911
529.000000, 88.497028
528.000000, 88.516477
527.000000, 88.511087
526.000000, 88.505864
525.000000, 88.508550
524.000000, 88.497123
523.000000, 88.529969
522.000000, 88.522680
521.000000, 88.522721
520.000000, 88.512124
519.000000, 88.564010
518.000000, 88.548231
517.000000, 88.554283
516.000000, 88.515449
515.000000, 88.537614
514.000000, 88.554557
513.000000, 88.533211
512.000000, 88.538917
511.000000, 88.590724
510.000000, 88.507342
509.000000, 88.509118
508.000000, 88.551288
507.000000, 88.533506
506.000000, 88.517575
505.000000, 88.530820
504.000000, 88.546873
503.000000, 88.521465
502.000000, 88.557093
501.000000, 88.548277
500.000000, 88.545874
499.000000, 88.554861
498.000000, 88.585632
497.000000, 88.576720
496.000000, 88.608513
495.000000, 88.607018
494.000000, 88.629827
493.000000, 88.677954
492.000000, 88.671493
491.000000, 88.694462
490.000000, 88.702978
489.000000, 88.697741
488.000000, 88.707336
487.000000, 88.790563
486.000000, 88.773769
485.000000, 88.733237
484.000000, 88.835006
483.000000, 88.834068
482.000000, 88.826353
481.000000, 88.799794
480.000000, 88.759022
479.000000, 88.788685
478.000000, 88.865546
477.000000, 88.830219
476.000000, 88.870945
475.000000, 88.884335
474.000000, 88.866840
473.000000, 88.859592
472.000000, 88.871134
471.000000, 88.846432
470.000000, 88.888213
469.000000, 88.869653
468.000000, 88.874730
467.000000, 88.878814
466.000000, 88.932651
465.000000, 88.897239
464.000000, 88.888133
463.000000, 88.928847
462.000000, 88.905301
461.000000, 88.924618
460.000000, 88.994717
459.000000, 89.014943
458.000000, 88.971319
457.000000, 88.965194
456.000000, 88.975515
455.000000, 89.010557
454.000000, 89.018046
453.000000, 89.052703
