nm, %R
800.000000, 99.641747
799.000000, 99.863158
798.000000, 99.600077
797.000000, 99.657315
796.000000, 99.518325
795.000000, 99.572560
794.000000, 99.699636
793.000000, 99.590832
792.000000, 99.599244
791.000000, 99.703056
790.000000, 99.707859
789.000000, 99.528325
788.000000, 99.578862
787.000000, 99.801186
786.000000, 99.786791
785.000000, 99.780159
784.000000, 99.723048
783.000000, 99.515768
782.000000, 99.633623
781.000000, 99.494775
780.000000, 99.724300
779.000000, 99.580006
778.000000, 99.660533
777.000000, 99.495919
776.000000, 99.697810
775.000000, 99.635973
774.000000, 99.541081
773.000000, 99.534235
772.000000, 99.530480
771.000000, 99.464842
770.000000, 99.526999
769.000000, 99.492010
768.000000, 99.604887
767.000000, 99.504414
766.000000, 99.734799
765.000000, 99.554243
764.000000, 99.540818
763.000000, 99.468664
762.000000, 99.423514
761.000000, 99.447395
760.000000, 99.526041
759.000000, 99.542713
758.000000, 99.528018
757.000000, 99.620724
756.000000, 99.505738
755.000000, 99.554535
754.000000, 99.593231
753.000000, 99.668058
752.000000, 99.581781
751.000000, 99.563007
750.000000, 99.466744
749.000000, 99.688044
748.000000, 99.583551
747.000000, 99.610022
746.000000, 99.598947
745.000000, 99.628426
744.000000, 99.607818
743.000000, 99.683214
742.000000, 99.668932
741.000000, 99.647646
740.000000, 99.645623
739.000000, 99.606249
738.000000, 99.557839
737.000000, 99.563868
736.000000, 99.667700
735.000000, 99.634923
734.000000, 99.604543
733.000000, 99.602773
732.000000, 99.631110
731.000000, 99.619519
730.000000, 99.594634
729.000000, 99.654145
728.000000, 99.673479
727.000000, 99.636884
726.000000, 99.505285
725.000000, 99.542303
724.000000, 99.544173
723.000000, 99.558504
722.000000, 99.537895
721.000000, 99.470402
720.000000, 99.485309
719.000000, 99.549590
718.000000, 99.497025
717.000000, 99.514214
716.000000, 99.506689
715.000000, 99.484727
714.000000, 99.510339
713.000000, 99.476183
712.000000, 99.529515
711.000000, 99.503134
710.000000, 99.540251
709.000000, 99.461330
708.000000, 99.454619
707.000000, 99.454541
706.000000, 99.502604
705.000000, 99.496547
704.000000, 99.456730
703.000000, 99.421946
702.000000, 99.408977
701.000000, 99.408762
700.000000, 99.423772
699.000000, 99.400598
698.000000, 99.378335
697.000000, 99.352644
696.000000, 99.370238
695.000000, 99.352955
694.000000, 99.358385
693.000000, 99.332503
692.000000, 99.317042
691.000000, 99.292842
690.000000, 99.339830
689.000000, 99.332161
688.000000, 99.241019
687.000000, 99.230182
686.000000, 99.193958
685.000000, 99.189180
684.000000, 99.237704
683.000000, 99.249200
682.000000, 99.237705
681.000000, 99.222091
680.000000, 99.214046
679.000000, 99.180340
