nm, %R
800.000000, 88.729310
799.000000, 89.014051
798.000000, 88.652896
797.000000, 88.726145
796.000000, 88.828433
795.000000, 88.585712
794.000000, 88.853054
793.000000, 88.802189
792.000000, 88.708304
791.000000, 88.856168
790.000000, 88.887363
789.000000, 88.819871
788.000000, 88.890358
787.000000, 88.786140
786.000000, 88.985576
785.000000, 88.828195
784.000000, 88.943353
783.000000, 88.771269
782.000000, 88.757979
781.000000, 88.718731
780.000000, 88.700809
779.000000, 88.802182
778.000000, 88.884735
777.000000, 88.705713
776.000000, 88.877599
775.000000, 88.738315
774.000000, 88.778367
773.000000, 88.792196
772.000000, 88.835807
771.000000, 88.764086
770.000000, 88.846919
769.000000, 88.820625
768.000000, 88.926775
767.000000, 88.696023
766.000000, 88.876187
765.000000, 88.807583
764.000000, 88.835040
763.000000, 88.811808
762.000000, 88.772998
761.000000, 88.834711
760.000000, 88.824010
759.000000, 88.897468
758.000000, 88.856032
757.000000, 88.839199
756.000000, 88.889945
755.000000, 88.876443
754.000000, 88.944730
753.000000, 88.908978
752.000000, 88.916418
751.000000, 88.928995
750.000000, 88.746260
749.000000, 88.997207
748.000000, 88.833578
747.000000, 88.984477
746.000000, 88.999298
745.000000, 88.976263
744.000000, 88.939900
743.000000, 89.017492
742.000000, 89.092899
741.000000, 89.058008
740.000000, 89.087500
739.000000, 88.961030
738.000000, 88.930001
737.000000, 88.954594
736.000000, 89.053063
735.000000, 89.069267
734.000000, 89.057331
733.000000, 89.040261
732.000000, 89.065037
731.000000, 89.024702
730.000000, 89.034899
729.000000, 89.044034
728.000000, 89.069841
727.000000, 89.065824
726.000000, 89.071012
725.000000, 89.066161
724.000000, 89.077627
723.000000, 89.128787
722.000000, 89.088557
721.000000, 88.995459
720.000000, 89.059466
719.000000, 89.136906
718.000000, 89.128177
717.000000, 89.110955
716.000000, 89.082963
715.000000, 89.104667
714.000000, 89.162411
713.000000, 89.095245
712.000000, 89.163855
711.000000, 89.162985
710.000000, 89.188354
709.000000, 89.152062
708.000000, 89.073489
707.000000, 89.110704
706.000000, 89.212558
705.000000, 89.266628
704.000000, 89.244296
703.000000, 89.227456
702.000000, 89.201969
701.000000, 89.247013
700.000000, 89.272362
699.000000, 89.268896
698.000000, 89.266668
697.000000, 89.235520
696.000000, 89.244463
695.000000, 89.264494
694.000000, 89.307814
