nm, %R
800.000000, 99.460347
799.000000, 99.628192
798.000000, 99.667899
797.000000, 99.559439
796.000000, 99.587147
795.000000, 99.670479
794.000000, 99.666600
793.000000, 99.625481
792.000000, 99.636339
791.000000, 99.726577
790.000000, 99.420389
789.000000, 99.624084
788.000000, 99.600008
787.000000, 99.741541
786.000000, 99.536606
785.000000, 99.757060
784.000000, 99.725781
783.000000, 99.783314
782.000000, 99.613580
781.000000, 99.654079
780.000000, 99.637134
779.000000, 99.589377
778.000000, 99.464688
777.000000, 99.616880
776.000000, 99.490576
775.000000, 99.693910
774.000000, 99.549360
773.000000, 99.577261
772.000000, 99.579188
771.000000, 99.551160
770.000000, 99.510955
769.000000, 99.621544
768.000000, 99.645908
767.000000, 99.625765
766.000000, 99.632808
765.000000, 99.544699
764.000000, 99.538749
763.000000, 99.568408
762.000000, 99.438886
761.000000, 99.536261
760.000000, 99.544389
759.000000, 99.529952
758.000000, 99.504383
757.000000, 99.446143
756.000000, 99.499735
755.000000, 99.607885
754.000000, 99.465453
753.000000, 99.657019
752.000000, 99.622419
751.000000, 99.635101
750.000000, 99.601060
749.000000, 99.602132
748.000000, 99.651082
747.000000, 99.613961
746.000000, 99.553212
745.000000, 99.601911
744.000000, 99.675135
743.000000, 99.625211
742.000000, 99.623567
741.000000, 99.621205
740.000000, 99.563857
739.000000, 99.588829
738.000000, 99.611408
737.000000, 99.559326
736.000000, 99.613691
735.000000, 99.590776
734.000000, 99.652440
733.000000, 99.681202
732.000000, 99.673145
731.000000, 99.573574
730.000000, 99.601519
729.000000, 99.652419
728.000000, 99.751130
727.000000, 99.655866
726.000000, 99.730567
725.000000, 99.704365
724.000000, 99.578156
723.000000, 99.572334
722.000000, 99.679922
721.000000, 99.621188
720.000000, 99.642499
719.000000, 99.681988
718.000000, 99.664928
717.000000, 99.603101
716.000000, 99.715018
715.000000, 99.621177
714.000000, 99.591773
713.000000, 99.656240
712.000000, 99.601120
711.000000, 99.563409
710.000000, 99.581007
709.000000, 99.670154
708.000000, 99.750313
707.000000, 99.668781
706.000000, 99.538751
705.000000, 99.620973
704.000000, 99.637352
703.000000, 99.570483
702.000000, 99.678596
701.000000, 99.673907
700.000000, 99.619764
699.000000, 99.632662
698.000000, 99.675744
697.000000, 99.597418
696.000000, 99.625137
695.000000, 99.676500
694.000000, 99.651311
693.000000, 99.681101
692.000000, 99.670454
691.000000, 99.649369
690.000000, 99.644843
689.000000, 99.614880
688.000000, 99.578570
687.000000, 99.602768
686.000000, 99.620287
685.000000, 99.644966
684.000000, 99.642413
683.000000, 99.596427
682.000000, 99.559825
681.000000, 99.608407
680.000000, 99.607704
679.000000, 99.580325
678.000000, 99.610916
677.000000, 99.585973
676.000000, 99.585227
675.000000, 99.614164
674.000000, 99.615254
673.000000, 99.645626
672.000000, 99.628024
671.000000, 99.641659
670.000000, 99.628487
669.000000, 99.591481
668.000000, 99.605209
667.000000, 99.625700
666.000000, 99.621561
665.000000, 99.584799
664.000000, 99.540723
663.000000, 99.592916
662.000000, 99.600832
661.000000, 99.577655
660.000000, 99.625625
659.000000, 99.594352
658.000000, 99.547598
657.000000, 99.586977
656.000000, 99.575824
655.000000, 99.547436
654.000000, 99.589584
653.000000, 99.604247
652.000000, 99.610740
651.000000, 99.632421
650.000000, 99.581575
649.000000, 99.559729
648.000000, 99.610692
647.000000, 99.609768
646.000000, 99.560728
645.000000, 99.550707
644.000000, 99.522407
643.000000, 99.527645
642.000000, 99.546684
641.000000, 99.538747
640.000000, 99.534303
639.000000, 99.572749
638.000000, 99.590537
637.000000, 99.628491
636.000000, 99.656781
635.000000, 99.624500
634.000000, 99.577533
633.000000, 99.594195
632.000000, 99.610149
631.000000, 99.576147
630.000000, 99.562529
629.000000, 99.571330
628.000000, 99.594605
627.000000, 99.608577
626.000000, 99.590157
625.000000, 99.587143
624.000000, 99.565466
623.000000, 99.582577
622.000000, 99.580694
621.000000, 99.630892
620.000000, 99.586858
619.000000, 99.537649
618.000000, 99.543222
617.000000, 99.543419
616.000000, 99.550242
615.000000, 99.578949
614.000000, 99.525483
613.000000, 99.557931
612.000000, 99.593103
611.000000, 99.590443
610.000000, 99.581160
609.000000, 99.551155
608.000000, 99.528667
607.000000, 99.563530
606.000000, 99.569979
605.000000, 99.518685
604.000000, 99.495417
603.000000, 99.553293
602.000000, 99.584710
601.000000, 99.557661
600.000000, 99.553449
599.000000, 99.548490
598.000000, 99.514648
597.000000, 99.568374
596.000000, 99.569980
595.000000, 99.526746
594.000000, 99.560543
593.000000, 99.541036
592.000000, 99.576715
591.000000, 99.586208
590.000000, 99.557039
589.000000, 99.467229
588.000000, 99.552570
587.000000, 99.491062
586.000000, 99.510700
585.000000, 99.568469
584.000000, 99.473487
583.000000, 99.506048
582.000000, 99.491267
581.000000, 99.510887
580.000000, 99.491935
579.000000, 99.492721
578.000000, 99.451783
577.000000, 99.478516
576.000000, 99.520158
575.000000, 99.501539
574.000000, 99.420087
573.000000, 99.486308
572.000000, 99.474130
571.000000, 99.498736
570.000000, 99.506878
569.000000, 99.457176
568.000000, 99.438479
567.000000, 99.475023
566.000000, 99.445037
565.000000, 99.432238
564.000000, 99.444771
563.000000, 99.437549
562.000000, 99.430872
561.000000, 99.412390
560.000000, 99.371126
559.000000, 99.416070
558.000000, 99.405162
557.000000, 99.395228
556.000000, 99.441398
555.000000, 99.389593
554.000000, 99.435399
553.000000, 99.426583
552.000000, 99.417335
551.000000, 99.330115
550.000000, 99.294477
549.000000, 99.413154
548.000000, 99.345330
547.000000, 99.402967
546.000000, 99.342870
545.000000, 99.337147
544.000000, 99.326984
543.000000, 99.382653
542.000000, 99.273954
541.000000, 99.303013
540.000000, 99.300748
539.000000, 99.268242
538.000000, 99.319536
537.000000, 99.324324
536.000000, 99.259205
535.000000, 99.333919
534.000000, 99.290916
533.000000, 99.270050
532.000000, 99.250438
531.000000, 99.224757
530.000000, 99.243998
529.000000, 99.253414
528.000000, 99.205731
527.000000, 99.261180
526.000000, 99.186170
525.000000, 99.221360
524.000000, 99.163003
523.000000, 99.157268
522.000000, 99.139005
521.000000, 99.111478
520.000000, 99.155146
519.000000, 99.125042
518.000000, 99.066474
517.000000, 99.091804
516.000000, 99.077825
515.000000, 99.077472
