nm, %R
800.000000, 84.046432
799.000000, 84.003206
798.000000, 84.039627
797.000000, 83.927244
796.000000, 84.015809
795.000000, 83.928843
794.000000, 84.039175
793.000000, 84.051320
792.000000, 84.048555
791.000000, 84.064038
790.000000, 83.889927
789.000000, 84.037003
788.000000, 84.048026
787.000000, 83.948621
786.000000, 84.077781
785.000000, 84.044238
784.000000, 84.129386
783.000000, 83.980601
782.000000, 83.990732
781.000000, 84.095893
780.000000, 84.113282
779.000000, 84.200306
778.000000, 84.141892
777.000000, 84.096632
776.000000, 84.078907
775.000000, 84.109246
774.000000, 84.167480
773.000000, 84.137766
772.000000, 84.076851
771.000000, 84.124872
770.000000, 84.097914
769.000000, 84.083073
768.000000, 84.058101
767.000000, 84.137632
766.000000, 84.095925
765.000000, 84.146341
764.000000, 84.051956
763.000000, 84.060030
762.000000, 84.048539
761.000000, 84.062135
760.000000, 84.109833
759.000000, 84.041372
758.000000, 84.025830
757.000000, 84.135059
756.000000, 84.079651
755.000000, 84.094992
754.000000, 84.132368
753.000000, 84.217933
752.000000, 84.180135
751.000000, 84.212454
750.000000, 84.138885
749.000000, 84.152856
748.000000, 84.117704
747.000000, 84.236610
746.000000, 84.292536
745.000000, 84.235356
744.000000, 84.258681
743.000000, 84.130538
742.000000, 84.192435
741.000000, 84.209031
740.000000, 84.298153
739.000000, 84.283120
738.000000, 84.214561
737.000000, 84.130267
736.000000, 84.080568
735.000000, 84.198114
734.000000, 84.265888
733.000000, 84.190208
732.000000, 84.230032
731.000000, 84.318874
730.000000, 84.241366
729.000000, 84.211969
728.000000, 84.235285
727.000000, 84.299409
726.000000, 84.283955
725.000000, 84.301231
724.000000, 84.271717
723.000000, 84.263619
722.000000, 84.317085
721.000000, 84.353304
720.000000, 84.352218
719.000000, 84.272119
718.000000, 84.225298
717.000000, 84.301540
716.000000, 84.301632
715.000000, 84.286260
714.000000, 84.351821
713.000000, 84.329630
712.000000, 84.287786
711.000000, 84.316944
710.000000, 84.389803
709.000000, 84.407556
708.000000, 84.368734
707.000000, 84.435322
706.000000, 84.456826
705.000000, 84.432625
704.000000, 84.428671
703.000000, 84.453692
702.000000, 84.418250
701.000000, 84.412744
700.000000, 84.423137
699.000000, 84.439277
698.000000, 84.429838
697.000000, 84.449995
696.000000, 84.459262
695.000000, 84.453441
694.000000, 84.433898
693.000000, 84.442458
692.000000, 84.423478
691.000000, 84.474356
690.000000, 84.501088
689.000000, 84.506150
688.000000, 84.520766
687.000000, 84.522574
686.000000, 84.527732
685.000000, 84.501358
684.000000, 84.527046
683.000000, 84.505513
682.000000, 84.547114
681.000000, 84.519419
680.000000, 84.546781
679.000000, 84.608608
678.000000, 84.590501
677.000000, 84.594150
676.000000, 84.554392
675.000000, 84.524849
674.000000, 84.554447
673.000000, 84.578733
672.000000, 84.578182
671.000000, 84.560810
670.000000, 84.551352
669.000000, 84.552500
668.000000, 84.579271
667.000000, 84.565959
666.000000, 84.560316
665.000000, 84.595650
664.000000, 84.640745
663.000000, 84.624049
662.000000, 84.611429
661.000000, 84.613269
660.000000, 84.626233
659.000000, 84.644156
658.000000, 84.681945
657.000000, 84.690372
656.000000, 84.615756
655.000000, 84.636500
654.000000, 84.691296
653.000000, 84.666216
652.000000, 84.606709
651.000000, 84.638236
650.000000, 84.644572
649.000000, 84.653647
648.000000, 84.672220
647.000000, 84.641556
646.000000, 84.707013
645.000000, 84.711663
644.000000, 84.691091
643.000000, 84.704040
642.000000, 84.707296
641.000000, 84.714772
640.000000, 84.730065
639.000000, 84.709225
638.000000, 84.682347
637.000000, 84.722369
636.000000, 84.733101
635.000000, 84.734718
634.000000, 84.696540
633.000000, 84.695224
632.000000, 84.741560
631.000000, 84.751896
630.000000, 84.741579
629.000000, 84.749567
628.000000, 84.728229
627.000000, 84.760299
626.000000, 84.777436
625.000000, 84.743459
624.000000, 84.704436
623.000000, 84.716478
622.000000, 84.767378
621.000000, 84.756958
620.000000, 84.774367
619.000000, 84.809958
618.000000, 84.784018
617.000000, 84.786354
616.000000, 84.753165
615.000000, 84.790476
614.000000, 84.807409
613.000000, 84.799081
612.000000, 84.839374
611.000000, 84.821976
610.000000, 84.853076
609.000000, 84.846428
608.000000, 84.806385
607.000000, 84.778897
606.000000, 84.812563
605.000000, 84.823741
604.000000, 84.807497
603.000000, 84.841132
602.000000, 84.806598
601.000000, 84.807403
600.000000, 84.830349
599.000000, 84.867888
598.000000, 84.823529
597.000000, 84.882697
596.000000, 84.862867
595.000000, 84.815714
594.000000, 84.844738
593.000000, 84.907497
592.000000, 84.863110
591.000000, 84.857353
590.000000, 84.860998
589.000000, 84.898451
588.000000, 84.855370
587.000000, 84.885728
586.000000, 84.905778
585.000000, 84.898923
584.000000, 84.889083
583.000000, 84.884690
582.000000, 84.925683
581.000000, 84.895952
580.000000, 84.889156
579.000000, 84.894916
578.000000, 84.890548
577.000000, 84.900972
576.000000, 84.881046
575.000000, 84.925489
574.000000, 84.909458
573.000000, 84.918775
572.000000, 84.877171
571.000000, 84.924847
570.000000, 84.913947
569.000000, 84.876383
568.000000, 84.910066
567.000000, 84.959308
566.000000, 84.912902
565.000000, 84.874091
564.000000, 84.940602
563.000000, 84.921562
562.000000, 84.951747
561.000000, 84.938046
560.000000, 84.921826
559.000000, 84.928263
558.000000, 84.892598
557.000000, 84.956532
556.000000, 84.936851
555.000000, 84.946177
554.000000, 84.923325
553.000000, 84.938808
552.000000, 84.936230
551.000000, 84.945263
550.000000, 84.916580
549.000000, 84.978531
548.000000, 84.908529
547.000000, 84.939267
546.000000, 84.966269
545.000000, 84.954528
544.000000, 84.922287
543.000000, 84.951823
542.000000, 84.917627
541.000000, 84.962373
540.000000, 84.913491
539.000000, 84.941701
538.000000, 84.949582
537.000000, 84.943344
536.000000, 84.927919
535.000000, 84.961320
534.000000, 84.936463
533.000000, 84.942213
532.000000, 84.924088
531.000000, 84.922264
530.000000, 84.959190
529.000000, 84.940467
528.000000, 84.940898
527.000000, 84.934598
526.000000, 84.943703
525.000000, 84.949309
524.000000, 84.974727
523.000000, 84.974868
522.000000, 84.904556
521.000000, 84.966147
520.000000, 84.945525
519.000000, 84.948978
518.000000, 84.953041
517.000000, 84.977974
516.000000, 84.976498
515.000000, 85.001501
514.000000, 84.979700
513.000000, 84.992605
512.000000, 85.017440
511.000000, 85.031682
510.000000, 85.046345
509.000000, 85.031173
508.000000, 85.039817
507.000000, 85.067048
506.000000, 85.057853
505.000000, 85.035499
504.000000, 85.042484
503.000000, 85.034581
502.000000, 85.052297
501.000000, 85.084095
500.000000, 85.043656
499.000000, 85.027064
498.000000, 85.036255
497.000000, 84.994356
496.000000, 85.012470
495.000000, 84.972864
494.000000, 84.978318
493.000000, 84.929711
492.000000, 84.914466
491.000000, 84.918843
490.000000, 84.855817
489.000000, 84.850889
488.000000, 84.858532
487.000000, 84.803385
486.000000, 84.814958
485.000000, 84.720079
484.000000, 84.719959
483.000000, 84.705808
482.000000, 84.627993
481.000000, 84.656687
480.000000, 84.610929
479.000000, 84.617076
