nm, %R
800.000000, 99.891717
799.000000, 100.007399
798.000000, 99.925891
797.000000, 99.925886
796.000000, 100.037211
795.000000, 99.864469
794.000000, 100.012052
793.000000, 99.998819
792.000000, 99.870537
791.000000, 99.941970
790.000000, 99.708506
789.000000, 99.976727
788.000000, 99.974371
787.000000, 99.928841
786.000000, 99.902782
785.000000, 100.052525
784.000000, 99.869343
783.000000, 99.929753
782.000000, 99.915290
781.000000, 99.925613
780.000000, 99.897394
779.000000, 99.960751
778.000000, 99.844708
777.000000, 99.881494
776.000000, 99.743585
775.000000, 99.801029
774.000000, 99.793876
773.000000, 99.917179
772.000000, 99.853147
771.000000, 99.960052
770.000000, 99.856838
769.000000, 99.909178
768.000000, 99.880854
767.000000, 99.904060
766.000000, 99.849637
765.000000, 99.937031
764.000000, 99.961971
763.000000, 99.809270
762.000000, 99.634657
761.000000, 99.729622
760.000000, 99.838340
759.000000, 99.742545
758.000000, 99.851315
757.000000, 99.772505
756.000000, 99.827489
755.000000, 99.877529
754.000000, 99.782122
753.000000, 99.993509
752.000000, 99.917112
751.000000, 99.899428
750.000000, 99.941796
749.000000, 99.891885
748.000000, 99.955334
747.000000, 100.019089
746.000000, 99.892403
745.000000, 99.888195
744.000000, 99.866753
743.000000, 99.901783
742.000000, 99.873131
741.000000, 99.931547
740.000000, 99.885331
739.000000, 99.897077
738.000000, 99.938487
737.000000, 99.908712
736.000000, 99.940776
735.000000, 99.865365
734.000000, 99.971364
733.000000, 99.981478
732.000000, 99.937967
731.000000, 99.950619
730.000000, 99.898872
729.000000, 99.978216
728.000000, 100.030386
727.000000, 99.970578
726.000000, 99.988343
725.000000, 99.895436
724.000000, 99.800908
723.000000, 99.911100
722.000000, 99.952708
721.000000, 99.827087
720.000000, 99.869154
719.000000, 99.895783
718.000000, 99.956842
717.000000, 99.933630
716.000000, 99.990586
715.000000, 99.939723
714.000000, 99.976577
713.000000, 99.980535
712.000000, 99.884034
711.000000, 99.852033
710.000000, 99.907282
709.000000, 99.992854
708.000000, 99.937247
707.000000, 99.835361
706.000000, 99.861572
705.000000, 99.936505
704.000000, 99.942238
703.000000, 99.901186
702.000000, 99.935808
701.000000, 99.951090
700.000000, 99.950104
699.000000, 99.971675
698.000000, 99.975030
697.000000, 99.932977
696.000000, 99.923309
695.000000, 99.919900
694.000000, 99.934853
693.000000, 99.986609
692.000000, 99.895177
691.000000, 99.935321
690.000000, 99.952699
689.000000, 99.919408
688.000000, 99.874201
687.000000, 99.883663
686.000000, 99.956378
685.000000, 99.980710
684.000000, 99.939009
683.000000, 99.890751
682.000000, 99.861690
681.000000, 99.883403
680.000000, 99.917767
679.000000, 99.941242
678.000000, 99.984412
677.000000, 99.912260
676.000000, 99.870979
675.000000, 99.895518
674.000000, 99.883489
673.000000, 99.877833
672.000000, 99.893402
671.000000, 99.947699
670.000000, 99.945282
669.000000, 99.904387
668.000000, 99.912021
667.000000, 99.970424
666.000000, 99.966848
665.000000, 99.881703
664.000000, 99.826152
663.000000, 99.873244
662.000000, 99.880357
661.000000, 99.889271
660.000000, 99.940573
659.000000, 99.864337
658.000000, 99.820238
657.000000, 99.880740
656.000000, 99.874010
655.000000, 99.858518
654.000000, 99.925086
653.000000, 99.931337
652.000000, 99.884621
651.000000, 99.914788
650.000000, 99.882206
649.000000, 99.847412
648.000000, 99.897895
647.000000, 99.926674
646.000000, 99.890496
645.000000, 99.853946
644.000000, 99.832932
643.000000, 99.805168
642.000000, 99.809981
641.000000, 99.838077
640.000000, 99.821445
639.000000, 99.860339
638.000000, 99.879966
637.000000, 99.842260
636.000000, 99.889702
635.000000, 99.879002
634.000000, 99.894361
633.000000, 99.917201
632.000000, 99.872180
631.000000, 99.838974
630.000000, 99.826632
629.000000, 99.856900
628.000000, 99.855859
627.000000, 99.884303
626.000000, 99.884588
625.000000, 99.865896
624.000000, 99.867864
623.000000, 99.866508
622.000000, 99.856205
621.000000, 99.903303
620.000000, 99.871485
619.000000, 99.823643
618.000000, 99.876629
617.000000, 99.860735
616.000000, 99.854291
615.000000, 99.860402
614.000000, 99.810753
613.000000, 99.851951
612.000000, 99.835200
611.000000, 99.882209
610.000000, 99.881829
609.000000, 99.852673
608.000000, 99.822358
607.000000, 99.838672
606.000000, 99.858136
605.000000, 99.835767
604.000000, 99.785609
603.000000, 99.804978
602.000000, 99.843939
601.000000, 99.864070
600.000000, 99.826371
599.000000, 99.819052
598.000000, 99.825975
597.000000, 99.856698
596.000000, 99.780648
595.000000, 99.773413
594.000000, 99.814479
593.000000, 99.787259
592.000000, 99.785280
591.000000, 99.840188
590.000000, 99.807715
589.000000, 99.787435
588.000000, 99.835825
587.000000, 99.758657
586.000000, 99.779887
585.000000, 99.790303
584.000000, 99.723250
583.000000, 99.732960
582.000000, 99.735216
581.000000, 99.768401
580.000000, 99.766038
579.000000, 99.796254
578.000000, 99.740208
577.000000, 99.776559
576.000000, 99.787956
575.000000, 99.803988
574.000000, 99.731211
573.000000, 99.770090
572.000000, 99.729177
571.000000, 99.727877
570.000000, 99.747589
569.000000, 99.701746
568.000000, 99.687722
567.000000, 99.737919
566.000000, 99.717393
565.000000, 99.721926
564.000000, 99.723746
563.000000, 99.695229
562.000000, 99.676780
561.000000, 99.678834
560.000000, 99.701854
559.000000, 99.680354
558.000000, 99.643769
557.000000, 99.663582
556.000000, 99.679670
555.000000, 99.662307
554.000000, 99.730779
553.000000, 99.671477
552.000000, 99.673613
