nm, %R
800.000000, 84.514492
799.000000, 84.536113
798.000000, 84.541946
797.000000, 84.389734
796.000000, 84.540169
795.000000, 84.431272
794.000000, 84.389738
793.000000, 84.588431
792.000000, 84.531309
791.000000, 84.524613
790.000000, 84.427219
789.000000, 84.596966
788.000000, 84.573416
787.000000, 84.457067
786.000000, 84.476525
785.000000, 84.627559
784.000000, 84.532595
783.000000, 84.377275
782.000000, 84.508895
781.000000, 84.483865
780.000000, 84.513664
779.000000, 84.643635
778.000000, 84.592854
777.000000, 84.630949
776.000000, 84.643389
775.000000, 84.565018
774.000000, 84.529030
773.000000, 84.502321
772.000000, 84.617637
771.000000, 84.563357
770.000000, 84.616016
769.000000, 84.572047
768.000000, 84.508948
767.000000, 84.532132
766.000000, 84.613017
765.000000, 84.641334
764.000000, 84.512732
763.000000, 84.578341
762.000000, 84.531794
761.000000, 84.626175
760.000000, 84.590275
759.000000, 84.541968
758.000000, 84.549311
757.000000, 84.627723
756.000000, 84.637493
755.000000, 84.612341
754.000000, 84.645371
753.000000, 84.701337
752.000000, 84.727777
751.000000, 84.629304
750.000000, 84.671551
749.000000, 84.591689
748.000000, 84.554219
747.000000, 84.700843
746.000000, 84.755839
745.000000, 84.738255
744.000000, 84.721441
743.000000, 84.688076
742.000000, 84.677856
741.000000, 84.692679
740.000000, 84.810057
739.000000, 84.840100
738.000000, 84.743742
737.000000, 84.684730
736.000000, 84.681709
735.000000, 84.721146
734.000000, 84.776654
733.000000, 84.779834
732.000000, 84.802738
731.000000, 84.835358
730.000000, 84.760615
729.000000, 84.741273
728.000000, 84.798591
727.000000, 84.802039
726.000000, 84.776672
725.000000, 84.769908
724.000000, 84.755845
723.000000, 84.759029
722.000000, 84.801472
721.000000, 84.815862
720.000000, 84.895051
719.000000, 84.902431
718.000000, 84.794097
717.000000, 84.847251
716.000000, 84.831280
715.000000, 84.779836
714.000000, 84.848967
713.000000, 84.875351
712.000000, 84.839098
711.000000, 84.839880
710.000000, 84.888245
709.000000, 84.915107
708.000000, 84.913446
707.000000, 84.907804
706.000000, 84.946901
705.000000, 84.994134
704.000000, 84.965410
703.000000, 84.945193
702.000000, 85.005898
701.000000, 85.008297
700.000000, 85.009422
699.000000, 85.015073
698.000000, 84.967846
697.000000, 84.985013
696.000000, 85.002711
695.000000, 84.952472
694.000000, 84.968308
693.000000, 84.981547
692.000000, 84.978318
691.000000, 85.003517
690.000000, 84.976436
689.000000, 85.038094
688.000000, 85.091581
687.000000, 85.095953
686.000000, 85.079777
685.000000, 85.046193
684.000000, 85.087002
683.000000, 85.065732
682.000000, 85.085808
681.000000, 85.093488
680.000000, 85.084199
679.000000, 85.111410
678.000000, 85.124410
677.000000, 85.096545
676.000000, 85.075022
675.000000, 85.106701
674.000000, 85.136242
673.000000, 85.130517
672.000000, 85.137324
671.000000, 85.123276
670.000000, 85.116871
669.000000, 85.153462
668.000000, 85.192099
667.000000, 85.190036
666.000000, 85.167967
665.000000, 85.187775
664.000000, 85.217474
663.000000, 85.189555
662.000000, 85.207232
661.000000, 85.214276
660.000000, 85.209442
659.000000, 85.209083
658.000000, 85.234350
657.000000, 85.254250
656.000000, 85.228090
655.000000, 85.235920
654.000000, 85.258812
653.000000, 85.263695
652.000000, 85.228104
651.000000, 85.260928
650.000000, 85.257490
649.000000, 85.245214
648.000000, 85.272310
647.000000, 85.283864
646.000000, 85.312186
645.000000, 85.329631
644.000000, 85.304437
643.000000, 85.321174
642.000000, 85.313457
641.000000, 85.331285
640.000000, 85.324948
639.000000, 85.325466
638.000000, 85.323438
637.000000, 85.334382
636.000000, 85.353878
635.000000, 85.369096
634.000000, 85.321528
633.000000, 85.331419
632.000000, 85.369418
631.000000, 85.362309
630.000000, 85.357259
629.000000, 85.391878
628.000000, 85.363029
627.000000, 85.391827
626.000000, 85.385389
625.000000, 85.398871
624.000000, 85.371352
623.000000, 85.373135
622.000000, 85.381564
621.000000, 85.406582
620.000000, 85.413466
619.000000, 85.473158
618.000000, 85.474434
617.000000, 85.441207
616.000000, 85.411290
615.000000, 85.458647
614.000000, 85.440359
613.000000, 85.476391
612.000000, 85.502402
611.000000, 85.476798
610.000000, 85.491029
609.000000, 85.512044
608.000000, 85.487240
607.000000, 85.481832
606.000000, 85.501143
605.000000, 85.509396
604.000000, 85.502229
603.000000, 85.546670
602.000000, 85.533805
601.000000, 85.534224
600.000000, 85.515590
599.000000, 85.531199
598.000000, 85.518605
597.000000, 85.554948
596.000000, 85.525382
595.000000, 85.547932
594.000000, 85.543087
593.000000, 85.596279
592.000000, 85.568938
591.000000, 85.598151
590.000000, 85.581245
589.000000, 85.568912
588.000000, 85.556577
587.000000, 85.588043
586.000000, 85.612714
585.000000, 85.625298
584.000000, 85.617416
583.000000, 85.585805
582.000000, 85.676135
581.000000, 85.637809
580.000000, 85.625733
579.000000, 85.647471
578.000000, 85.635750
577.000000, 85.630136
576.000000, 85.603681
575.000000, 85.641760
574.000000, 85.636761
573.000000, 85.674632
572.000000, 85.666641
571.000000, 85.685828
570.000000, 85.671990
569.000000, 85.686777
568.000000, 85.679351
567.000000, 85.741105
566.000000, 85.690140
565.000000, 85.696926
564.000000, 85.731816
563.000000, 85.723181
562.000000, 85.715850
561.000000, 85.709695
560.000000, 85.697278
559.000000, 85.757105
558.000000, 85.702789
557.000000, 85.731893
556.000000, 85.743740
555.000000, 85.749287
554.000000, 85.742186
553.000000, 85.774419
552.000000, 85.781641
551.000000, 85.763018
550.000000, 85.751772
549.000000, 85.816454
548.000000, 85.773070
547.000000, 85.838986
546.000000, 85.795780
545.000000, 85.823584
544.000000, 85.795600
543.000000, 85.768993
542.000000, 85.769116
541.000000, 85.881694
540.000000, 85.780623
539.000000, 85.834353
538.000000, 85.854635
537.000000, 85.844256
536.000000, 85.846238
535.000000, 85.870684
534.000000, 85.814001
533.000000, 85.829196
532.000000, 85.819975
531.000000, 85.864373
530.000000, 85.894801
529.000000, 85.887072
528.000000, 85.879550
527.000000, 85.903970
526.000000, 85.904312
525.000000, 85.879566
524.000000, 85.904253
523.000000, 85.939139
522.000000, 85.889181
521.000000, 85.918694
520.000000, 85.941648
519.000000, 85.950883
518.000000, 85.960707
517.000000, 85.988458
516.000000, 86.011083
515.000000, 86.006216
514.000000, 85.995237
513.000000, 86.051546
512.000000, 86.056010
511.000000, 86.106467
510.000000, 86.132920
509.000000, 86.132080
508.000000, 86.191912
507.000000, 86.198992
506.000000, 86.221955
505.000000, 86.220443
504.000000, 86.247993
503.000000, 86.245974
502.000000, 86.273565
501.000000, 86.310926
500.000000, 86.299051
499.000000, 86.300570
498.000000, 86.297316
497.000000, 86.239185
496.000000, 86.279373
495.000000, 86.300966
494.000000, 86.309629
493.000000, 86.286876
492.000000, 86.248050
491.000000, 86.242037
490.000000, 86.253388
489.000000, 86.303145
488.000000, 86.296310
487.000000, 86.258445
486.000000, 86.275942
