Energy(eV),T
1.12709,0.738083
1.12812,0.738834
1.12914,0.739455
1.13017,0.74006
1.1312,0.740995
1.13224,0.742201
1.13327,0.743259
1.13431,0.744608
1.13535,0.745844
1.13639,0.747081
1.13743,0.74917
1.13848,0.750818
1.13952,0.752648
1.14057,0.754177
1.14162,0.756268
1.14267,0.758269
1.14373,0.760563
1.14478,0.762626
1.14584,0.764674
1.1469,0.766943
1.14796,0.769261
1.14903,0.771428
1.15009,0.773543
1.15116,0.776078
1.15223,0.778283
1.1533,0.781053
1.15438,0.78365
1.15545,0.785897
1.15653,0.788402
1.15761,0.79076
1.15869,0.793647
1.15978,0.795924
1.16086,0.798564
1.16195,0.801283
1.16304,0.80405
1.16413,0.80669
1.16523,0.809314
1.16632,0.812022
1.16742,0.814972
1.16852,0.817488
1.16962,0.820447
1.17073,0.823268
1.17183,0.82603
1.17294,0.829288
1.17405,0.832184
1.17517,0.8352
1.17628,0.838397
1.1774,0.841305
1.17852,0.844347
1.17964,0.847179
1.18076,0.849957
1.18189,0.85283
1.18302,0.855459
1.18415,0.858318
1.18528,0.861351
1.18641,0.86378
1.18755,0.866488
1.18869,0.868709
1.18983,0.871449
1.19097,0.87371
1.19212,0.875739
1.19326,0.878064
1.19441,0.880032
1.19556,0.881953
1.19672,0.884186
1.19787,0.886532
1.19903,0.888402
1.20019,0.889864
1.20136,0.891411
1.20252,0.893136
1.20369,0.894667
1.20486,0.895799
1.20603,0.897189
1.20721,0.898504
1.20838,0.899718
1.20956,0.900529
1.21074,0.90139
1.21193,0.902227
1.21311,0.902602
1.2143,0.903606
1.21549,0.904395
1.21668,0.904591
1.21788,0.904397
1.21908,0.904761
1.22028,0.905259
1.22148,0.905116
1.22268,0.905041
1.22389,0.904607
1.2251,0.904181
1.22631,0.903382
1.22752,0.902963
1.22874,0.902179
1.22996,0.901102
1.23118,0.89998
1.23241,0.898923
1.23363,0.898188
1.23486,0.896874
1.23609,0.895545
1.23733,0.894072
1.23856,0.892371
1.2398,0.890199
1.24104,0.887865
1.24228,0.88602
1.24353,0.883757
1.24478,0.881697
1.24603,0.879981
1.24728,0.878041
1.24854,0.875025
1.2498,0.872494
1.25106,0.869921
1.25232,0.867421
1.25359,0.864988
1.25486,0.861834
1.25613,0.858842
1.2574,0.855469
1.25868,0.852405
1.25996,0.849291
1.26124,0.846303
1.26253,0.843702
1.26381,0.840129
1.2651,0.836984
1.26639,0.833688
1.26769,0.829587
1.26899,0.826302
1.27029,0.823332
1.27159,0.820285
1.2729,0.817566
1.2742,0.814574
1.27551,0.811143
1.27683,0.808303
1.27814,0.805685
1.27946,0.802965
1.28079,0.800181
1.28211,0.797631
1.28344,0.795313
1.28477,0.791979
1.2861,0.789316
1.28744,0.786457
1.28877,0.783809
1.29011,0.781619
1.29146,0.778771
1.29281,0.776301
1.29415,0.773934
1.29551,0.771501
1.29686,0.768968
1.29822,0.766888
1.29958,0.764925
1.30094,0.762153
1.30231,0.759799
1.30368,0.757386
1.30505,0.755116
1.30643,0.753006
1.30781,0.751888
1.30919,0.750731
1.31057,0.749482
1.31196,0.748357
1.31335,0.746835
1.31474,0.745786
1.31614,0.745094
1.31753,0.743659
1.31894,0.742791
1.32034,0.742366
1.32175,0.741242
1.32316,0.739608
1.32457,0.739278
1.32599,0.739764
1.32741,0.739774
1.32883,0.739744
1.33026,0.739705
1.33169,0.739697
1.33312,0.738779
1.33455,0.738842
1.33599,0.739655
1.33743,0.740078
1.33888,0.740899
1.34032,0.741354
1.34177,0.742185
1.34323,0.742896
1.34469,0.743366
1.34615,0.745
1.34761,0.747106
1.34908,0.74796
1.35054,0.749285
1.35202,0.749752
1.35349,0.751411
1.35497,0.753403
1.35646,0.754915
1.35794,0.757698
1.35943,0.760845
1.36092,0.762541
1.36242,0.765619
1.36392,0.767099
1.36542,0.769843
1.36692,0.773229
1.36843,0.775608
1.36994,0.778519
1.37146,0.781174
1.37298,0.783499
1.3745,0.787019
1.37603,0.78835
1.37756,0.792896
1.37909,0.795696
1.38062,0.798722
1.38216,0.80229
1.38371,0.804729
1.38525,0.80733
1.3868,0.810835
1.38835,0.813527
1.38991,0.817852
1.39147,0.821536
1.39303,0.824387
1.3946,0.827193
1.39617,0.831536
1.39775,0.835495
1.39932,0.839305
1.4009,0.841664
1.40249,0.844757
1.40408,0.8488
1.40567,0.853219
1.40726,0.855041
1.40886,0.858008
1.41047,0.86239
1.41207,0.866724
1.41368,0.868359
1.4153,0.872635
1.41691,0.877566
1.41854,0.878794
1.42016,0.881095
1.42179,0.88578
1.42342,0.887956
1.42506,0.888872
1.4267,0.888746
1.42834,0.890932
1.42999,0.894516
1.43164,0.894501
1.43329,0.89578
1.43495,0.897988
1.43662,0.898818
1.43828,0.898908
1.43995,0.899473
1.44163,0.899641
1.44331,0.897067
1.44499,0.893229
1.44667,0.894079
1.44836,0.893413
1.45006,0.89134
1.45176,0.889795
1.45346,0.889966
1.45516,0.890681
1.45687,0.889595
1.45859,0.886694
1.46031,0.883474
1.46203,0.880833
1.46375,0.87817
1.46548,0.874561
1.46722,0.872784
1.46896,0.871323
1.4707,0.870903
1.47245,0.867489
1.4742,0.866632
1.47595,0.862425
1.47771,0.857135
1.47947,0.849469
1.48124,0.848137
1.48301,0.842314
1.48479,0.839835
1.48657,0.836626
1.48836,0.83634
1.49014,0.837566
1.49194,0.833231
1.49373,0.830404
1.49554,0.824654
1.49734,0.820304
1.49915,0.815156
1.50097,0.808187
1.50279,0.803274
1.50461,0.795749
1.50644,0.792716
1.50827,0.789242
1.51011,0.788091
1.51195,0.78384
1.5138,0.784347
1.51565,0.78134
1.5175,0.775778
1.51936,0.769955
1.52123,0.762948
1.5231,0.760889
1.52497,0.761387
1.52685,0.760686
1.52873,0.758543
1.53062,0.755616
1.53251,0.756323
1.53441,0.756421
1.53631,0.756271
1.53821,0.754895
1.54012,0.755301
1.54204,0.755011
1.54396,0.752813
1.54589,0.750508
1.54782,0.749076
1.54975,0.744394
1.55169,0.740288
1.55363,0.734109
1.55558,0.738817
1.55754,0.74701
1.5595,0.749233
1.56146,0.750155
1.56343,0.75343
1.5654,0.753031
1.56738,0.752502
1.56937,0.751732
1.57136,0.755085
1.57335,0.757758
